rank	username	minecraft:dropped/minecraft:mangrove_trapdoor
1	beeperbeeper5	38
2	Soplight	37
3	SvenskaHugo	5
4	RealGroot	4
5	luseis	2
6	Merv__	1
6	Mahoose	1
6	hanaryheatwave	1
6	RoofTyler	1
