rank	username	minecraft:dropped/minecraft:hay_block
1	thewindmillman	16282
2	Jackattack53	4393
3	Hyp3rion_	296
4	EMC_	282
5	Segotep999	270
6	FreakGenius	268
7	TechnoNinja64	260
8	Werbe	202
9	500am	167
10	Jimb0nat0r	163
11	_Meow_Mix	149
12	Enderxz3	145
13	Manaateee	135
14	Kowcio_	122
15	pintsizedrogue	120
16	Akoot_	116
17	Skylord_Luke	93
18	Fuad_R	84
19	noam464	77
20	NATE_the_HALO	72
21	Snowflowe	64
21	Blu3beast	64
21	Razzgriz	64
21	PlasticOtari	64
25	Avocadogerms	63
26	w3nd3lbo3	62
27	eitanzaki	56
28	kekhon	54
29	vandmanden	52
30	Historical_Sand	51
31	beeperbeeper5	49
32	SvenskaHugo	43
33	Vizzoid	42
34	rarrq	40
34	LeEricc	40
36	Yamdalorian	36
37	Bandito_Roamer	30
37	Blackberry1310	30
37	Krowuss	30
40	ougstur	28
41	Mahoose	26
41	SteveCraftBlocks	26
41	mihimihimihi	26
44	_i_ERROR_i_	23
45	oscminus	21
46	BlueZabu	20
46	Aavermu	20
48	FreddyFart	16
49	k_ce	14
49	Yahir091	14
51	PhantomsGhost_	11
51	Ev0luti0nz	11
51	Archsam	11
54	Franco093	10
54	joethahobo	10
54	uhm__okay	10
54	yulgur1	10
58	_Banjo_1	9
58	AlexxO_o	9
58	ConnorDanky_	9
61	TheSecondLord	8
61	Tyrannosplart	8
63	Alteriity	7
63	ARandomHedge	7
63	EveryonesUncle	7
63	Vicemaniac	7
63	Vellu21	7
68	El_Jalapeno	6
68	Xclax101	6
68	CalebDHawk	6
71	Frozil20	5
71	Sleek_Storm_721	5
71	Lez_	5
71	KingMatthew506	5
71	HesDemonPants	5
76	12Magner05	4
76	Afinnity	4
76	Luigipunch989	4
79	Di_infiri	3
79	Kouridragon	3
79	Hahaa_0	3
82	Minimize501	2
82	skroobiez	2
82	fade_emerge78823	2
82	burbankbuilder28	2
82	Mattesco	2
82	luseis	2
82	EfficientC52	2
82	Racengan	2
82	StarCookiees_	2
82	Kyrum2169	2
82	MrMeisterProper	2
93	xvphmura	1
93	SugarMyNuggets	1
93	PazinGaming	1
93	Iagoku	1
93	RebelAndroid	1
93	Frxnkz	1
93	thescout7	1
93	benediktine1	1
93	TableTim	1
93	Reneedium	1
93	Gryglu583	1
93	KermitTheKripple	1
93	DarlaMeow	1
93	AssassinAshton	1
93	SpacesickPrism	1
93	taengoos	1
93	Ezekson	1
93	satuern	1
