rank	username	minecraft:dropped/minecraft:polished_blackstone_bricks
1	Hyp3rion_	13349
2	hanaryheatwave	4736
3	noam464	3238
4	thewindmillman	2308
5	eitanzaki	1393
6	beeperbeeper5	846
7	Solar_Power	844
8	PigDab	833
9	Di_infiri	808
10	Blaiku	692
11	k_ce	610
12	Mattesco	552
13	TheKingK_	547
14	TheSecondLord	494
15	500am	449
16	Spacewardharpy7	439
17	ECstardust	368
18	00000000-0000-0000-0009-01ff0c3e5e4f	347
19	Jackattack53	335
20	lizardfightclub	331
21	Mr_Byzantine	318
22	Kowcio_	284
23	PazinGaming	266
24	kekhon	201
25	zToasty69z	200
25	emreknugrlu	200
27	Alteriity	195
28	Marbz_	192
29	YungMaki	187
30	Yamdalorian	165
31	excelsionprime	154
32	Segotep999	130
33	ImpavidArcher	128
34	EcksD	123
35	Fullut	120
36	Billious	111
37	Akoot_	110
38	FishyBoy3811	108
39	j5ylim	105
40	skitzxo	93
41	KarlKaek	92
42	luseis	91
43	Secret_Canary	89
43	_Mythic____	89
45	monky_irl	88
46	NATE_the_HALO	87
47	Cowison	83
48	iSammael	73
49	mimbo1211	68
49	EveryonesUncle	68
51	SingedBread	67
52	RebelAndroid	66
53	T045RTY	65
54	Frigzy_	64
54	Jakobo1337	64
54	Manaateee	64
57	rarrq	61
58	HellsSponge	59
59	set67	52
60	FreakGenius	51
61	Groovy_MoonBird	50
61	burbankbuilder28	50
61	ScootOfBoot	50
64	livingdaydreams	47
65	powercas_gamer	44
66	lorpus	43
67	Legendosh	42
68	LazySupport00	40
69	mwrty	39
69	NomadicRobin_	39
71	Werbe	36
72	Kubeusz2010	35
73	_i_ERROR_i_	33
74	Racengan	28
75	jacxhadow	25
76	Luigipunch989	24
77	Afinnity	21
78	ShedJr_	20
79	Crizma_	19
80	fade_emerge78823	18
81	Apollo_993	17
81	HolyVenom	17
81	Quotary	17
84	Winklepicker279	16
84	fw3xy74	16
86	Lez_	15
86	MattieHD	15
86	fluddd	15
86	Druid95	15
90	ChampPog_	14
90	Smashic	14
90	Hahaa_0	14
93	NinjaKnifeKill	13
93	MSK__	13
93	djancak	13
96	fragrantmonke444	12
97	q_wq	11
97	CoffeeNoir	11
97	Kakolbus	11
97	masskedman	11
97	SkateboardR6	11
97	Steelynan	11
103	yulgur1	10
104	Shogunite	9
105	BlancoFlaco	8
106	prizm_	7
106	WET_WET_WET	7
106	NameGenerat0r	7
106	Synthoum	7
110	ratglock	6
110	Skylord_Luke	6
110	KeruNatsema	6
110	Blu3beast	6
110	WYFYoyo	6
115	Awyrlas	5
115	ROY4LE	5
117	pintsizedrogue	4
117	chipklip	4
117	12Magner05	4
117	RebytreGT	4
117	Dakar_	4
117	pretty_pink_reno	4
117	Nicserso	4
117	Enderxz3	4
117	trexgb	4
126	diamondgolem35	3
126	gren_ben	3
126	joethahobo	3
126	akap47	3
126	Crowman1	3
126	ARandomHedge	3
126	wwwwinnebagoooo	3
126	StarCookiees_	3
126	pixelviolin	3
126	SpacesickPrism	3
126	tartanboy	3
126	Jimb0nat0r	3
138	CLG_Kata	2
138	teslawolf38	2
138	Da_Boss_Rani	2
138	CollinMH06	2
138	Zythose	2
138	JitteryJared2	2
138	ooga47	2
138	Moofyman	2
138	Buuck_	2
138	Hisiste	2
138	Eraxa	2
138	Sheldor097	2
138	elliebelle107	2
151	Travasaur	1
151	SmashingPump	1
151	EMC_	1
151	77Holly7	1
151	Mahoose	1
151	Nach0Bear	1
151	Inchef	1
151	benediktine1	1
151	bl1ss0	1
151	mariominejedi	1
151	whoaluv	1
151	U_Mos_	1
151	pappaberg	1
151	TheShyPig	1
151	DrProfAwesome	1
151	Deathkob	1
151	LexMakesHistory	1
151	jake314810	1
151	bluefragmentt	1
151	CalebDHawk	1
151	MilleGrug	1
151	remmisrat	1
