rank	username	minecraft:dropped/minecraft:scaffolding
1	thewindmillman	22861
2	lordpipe	4775
3	Hyp3rion_	4736
4	joethahobo	2521
5	TechnoNinja64	2105
6	eitanzaki	1936
7	kekhon	1494
8	lillips	1341
9	Ezekson	1339
10	Mahoose	1167
11	Werbe	1151
12	PigDab	1134
13	Smoke____	1053
14	Freak_Genius	1010
15	500am	976
16	beeperbeeper5	948
17	T045RTY	946
17	Akoot_	946
19	Blackberry1310	892
20	Dedalus36	858
21	SquadMonster	631
22	HellsSponge	599
23	Frozil12	584
24	KarlKaek	578
25	set67	577
26	rarrq	563
27	burbankbuilder28	549
28	Uzbeki_John	518
29	thescout7	498
30	bloodbiter	483
31	Spacewardharpy7	480
32	NotMeowMix	426
33	Hermanni__	396
34	Menthas	387
35	Soplight	376
36	jnp_gaming	366
37	Merv__	363
38	Meatlaugh	361
39	Blaiku	349
40	Vizzoid	344
41	stahouo	337
42	EcksD	327
43	Skylord_Luke	320
44	Eraxa	284
45	Onennon	282
46	vampgey	280
47	fkGrim	271
48	__tomato	267
49	MakeHistory157	265
50	Ze1ig	261
51	Skippeh	259
52	ooga47	257
53	jacxhadow	256
54	NameGenerat0r	252
55	TheMiddayMoon	249
56	TheSecondLord	237
56	ApophisNova	237
56	MyNamaSheff	237
59	SkateboardR6	232
60	pintsizedrogue	229
61	teslawolf38	224
62	Fullut	220
62	Soap_Bender	220
64	Luigipunch989	215
65	Kyrum2169	206
66	NomadicRobin_	200
67	chipklip	196
68	emrekn	192
68	Steelynan	192
70	YungMaki	189
71	CollinMH06	188
72	Inchef	187
73	noam464	185
74	ToastedGamingYT	180
75	lOlmantschi	178
76	SammiWolfGirl	172
77	Quotary	164
78	oxfordschool	153
79	ImpavidArcher	149
80	DarlaMeow	144
81	Di_infiri	138
82	Lord_Jord	134
82	EveryonesUncle	134
84	Kowcio_	132
85	6king6colt6	131
86	M_Patata	129
86	MightyWertu	129
88	Kkanot	128
88	Marbz_	128
88	Snowflowe	128
88	MeanTugger	128
88	Juk3b0x	128
88	cichy096	128
94	MasterNueve	127
95	eviltunix	124
96	LAVA129	122
97	SuperPooch06	121
98	MrExplorer	115
99	2blox	112
100	Chromary	110
101	Nicserso	107
102	NotTrixi	105
103	Arceus1975	103
104	Groovy_MoonBird	98
105	HAIRYCLOUD626	96
106	SaucyDark	94
107	Hiryu27	93
108	MustaLoordi	88
109	Legendosh	85
110	Hisiste	84
111	_Dean_123	80
112	MrMattyPatt	79
113	himak1	77
113	Jordan_R	77
115	ShedJr_	75
115	Xclax101	75
117	carbo_bro	74
118	eiC_	73
119	livingdaydreams	72
119	whoaluv	72
121	Euclidoris	71
122	VentiHilton	70
123	Babushka0430	66
124	Kubeusz2010	65
125	fr0stss	64
125	Notta	64
125	wTXop	64
125	FishyBoy3811	64
125	Quaintster	64
125	__Auspicious	64
125	Juh1s	64
125	JayToe	64
133	claivin	63
134	PhantomsGhost_	62
134	Incinere	62
134	Blu3beast	62
134	EcksDofficial	62
138	ReyTheLegend	60
138	pixelviolin	60
140	NotKaden_	58
141	Malorn_Aetherius	57
142	WYFYoyo	56
143	Shiirazuku	55
144	featherflyy	53
145	The_Dark_One_00	52
146	2Stout	49
146	Rocco_Lane	49
148	CalebDHawk	48
149	intropass	47
149	The11thDoctor	47
149	Neps1	47
149	Fuhrer_Teemo	47
149	Shogunite	47
154	Zythose	46
154	_Karmaa	46
154	Deguns123	46
157	Nicky_H225	45
157	MyNameIsJobo	45
157	BlankityMcBlank	45
157	Dogcorn69420	45
161	MyNameIsDakar	44
162	awesomeoneme	43
163	ewsophie	42
163	Bumpy419	42
163	kinas45y5	42
166	Wowful	41
166	_Bguette_	41
168	Mewar	40
169	Xalithia	39
169	fluddd	39
171	Natty	38
171	Jackattack53	38
173	CruncyIsTaken	37
173	ElKaySVK	37
175	RodSerlingCringe	35
175	_TCARREIRA_	35
177	ratglock	34
177	SteveCraftBlocks	34
179	anbbang	33
180	Ssor69	32
180	Prodiginus	32
180	silverpopcorn	32
183	Hpdinosaur	31
183	Jiminie	31
185	m_be9	28
185	MovingFish7	28
185	Kukkelikuk	28
185	obzii	28
189	Nagasaki_Riku	27
190	xxPipperDipperxx	26
190	phomic	26
190	alderban107	26
190	Miko_Fullbuster	26
194	Paint	24
194	bigstankyy	24
194	Nach0Bear	24
194	r123moore	24
194	Sky_light_KING	24
199	mariominejedi	21
199	lcvezra	21
201	Louiis123	20
201	maxdacatv2	20
203	Kakolbus	19
203	Mistruth	19
205	Sleek_Storm_721	18
205	ProfessorBee	18
205	egglapras	18
205	cedric72	18
205	GoofyBread	18
205	SlimeBOI03	18
211	Funkyie	17
211	_Nuf	17
211	jcool7	17
214	heysushii	15
214	Tommhh	15
214	Patwannabegamer	15
214	MinerDec	15
214	DScatgirls	15
214	Maenara	15
214	Sheldor097	15
221	H72l9w	14
221	urbeans	14
221	MineMaster0012	14
221	Enderslayerxz3	14
225	thgrocks	13
225	Cocoamallows	13
227	Mr_Byzantine	12
227	Wooptey	12
227	Posseth	12
227	PortlyPete69	12
231	Ev0luti0nz	11
231	Minimize501	11
231	BobDeBouwer1337	11
231	jedi_george	11
231	XeroByMyth	11
236	titanlax	10
236	gcaisawesome	10
236	MustardDrinker	10
