rank	username	minecraft:dropped/minecraft:red_stained_glass_pane
1	emreknugrlu	313
2	beeperbeeper5	197
3	TechnoNinja64	96
4	FreakGenius	85
5	VentiHilton	80
6	IamCL4SSY	78
7	TheSecondLord	75
8	crashomon	67
8	Spenduh	67
10	annebolyn	61
11	Spacewardharpy7	51
12	Mahoose	49
13	Eraxa	44
14	k_ce	39
15	bloodbiter	33
16	Blaiku	25
17	redikul	19
18	Tyrannosplart	17
19	SaucyDark	16
19	r123moore	16
21	rarrq	14
21	RobotMinion101	14
21	lordpipe	14
24	eitanzaki	10
24	Blu3beast	10
24	Kowcio_	10
27	Nicserso	9
28	blackmage426	8
28	PlasticOtari	8
30	Comma__	7
31	Enderxz3	6
32	laron58	5
32	skitzxo	5
34	Quaintster	4
34	EcksD	4
36	Lez_	3
36	Blackberry1310	3
38	kekhon	2
38	ROY4LE	2
38	Gzrdy	2
38	Hyp3rion_	2
38	oscminus	2
38	Werbe	2
38	Soplight	2
38	jnp_gaming	2
46	pintsizedrogue	1
46	ProbablyNick	1
46	ganyuganyu	1
46	BadenStayFly	1
46	joethahobo	1
46	jushykins	1
46	MrExplorer	1
46	bbquakes	1
46	pumpfonzo	1
46	CarltheCuck	1
46	Jackattack53	1
46	TheShyPig	1
46	Manaateee	1
46	Shogunite	1
46	pixelviolin	1
46	fffMike	1
46	Steelynan	1
46	Jimb0nat0r	1
46	aubergined	1
