rank	username	minecraft:dropped/minecraft:water_bucket
1	noam464	589
2	Hyp3rion_	412
3	Jackattack53	242
4	beeperbeeper5	141
5	thewindmillman	138
6	PigDab	105
7	eitanzaki	82
8	Di_infiri	73
8	Segotep999	73
10	Lez_	71
11	Cyanide4Kitten	70
12	kekhon	68
13	Werbe	54
13	FreakGenius	54
15	HellsSponge	53
16	jcool7	52
17	Blu3beast	51
18	EcksD	43
19	Kowcio_	37
20	thescout7	32
21	Blaiku	31
22	Mahoose	29
22	ApophisNova	29
22	MyNamaSheff	29
25	Akoot_	26
25	Gryglu583	26
27	Fuad_R	25
28	Spacewardharpy7	24
29	Ezekson	22
29	TechnoNinja64	22
31	pintsizedrogue	21
31	Blackberry1310	21
33	pixelviolin	20
33	BlankityMcBlank	20
35	skroobiez	19
36	rarrq	18
36	Yamdalorian	18
38	lordpipe	17
39	mwrty	16
39	xzvu	16
41	ECstardust	13
41	Frozil20	13
41	77Holly7	13
41	crashomon	13
41	Kyrum2169	13
46	myaccountwasgone	12
46	fkGrim	12
46	Tyrannosplart	12
49	MoistMicrowave	11
49	joethahobo	11
49	Kakolbus	11
49	SkateboardR6	11
49	Pumpkin_P_Patch	11
54	Killercatty78	10
54	Crowman1	10
54	RebytreGT	10
54	oscminus	10
54	claivin	10
54	Soplight	10
60	Krowuss	9
60	fw3xy74	9
60	Eraxa	9
60	TheKingK_	9
64	SaucyDark	8
64	titanlax	8
64	XboxPanda	8
64	hanaryheatwave	8
64	BronkerBrum	8
64	luseis	8
64	_TCARREIRA_	8
64	ConnorDanky_	8
64	Enderxz3	8
73	PhantomsGhost_	7
73	PazinGaming	7
73	ImpavidArcher	7
73	SuperPooch06	7
73	Lord_Jord	7
73	Cocoamallows	7
73	StarCookiees_	7
73	MrShojo	7
73	Zoeyfortnite	7
82	k_ce	6
82	chipklip	6
82	Fullut	6
82	Smashic	6
82	xxPipperDipperxx	6
82	Marbz_	6
82	Arceus1975	6
82	Bumpy419	6
82	AlexxO_o	6
82	Inbefour	6
82	weabis	6
82	MAns_44	6
82	Racengan	6
82	MovingFish7	6
82	bloomkieren	6
82	SammiWolfGirl	6
82	Skippeh	6
82	AstroLightz_	6
100	KarlKaek	5
100	livingdaydreams	5
100	Notta	5
100	CliffEmAll	5
100	TheSecondLord	5
100	_Nuf	5
100	TheDankPlatypus	5
100	AJplaysMC_	5
100	TheWildMateo	5
100	Mattesco	5
100	Luminad3	5
100	NomadicRobin_	5
100	The_slideV3	5
100	Cyntrical	5
100	fluddd	5
100	RedcatVII	5
100	Hisiste	5
100	Factoroni	5
100	YungMaki	5
100	PortlyPete69	5
100	smogfrog	5
100	DairyNickel756	5
100	jnp_gaming	5
100	2blox_	5
100	skitzxo	5
100	Teebone15	5
126	Groovy_MoonBird	4
126	BPTY4618	4
126	Incinere	4
126	YairZaki	4
126	tsohomie	4
126	Da_Boss_Rani	4
126	MattieHD	4
126	pumpfonzo	4
126	mariominejedi	4
126	CollinMH06	4
126	Snowflowe	4
126	killmeiamtraitor	4
126	Hiryu27	4
126	F_Uhre	4
126	Samificator	4
126	Leyna3	4
126	Maenara	4
126	Lord_Zacler	4
126	emreknugrlu	4
126	Soap_Bender	4
126	Warlord324	4
126	Yahir091	4
126	Lord_Doob	4
126	WyngGoy	4
126	ediballbearings	4
126	fffMike	4
126	KingMatthew506	4
126	hermmm_	4
126	Kubeusz2010	4
126	Iamthejo	4
126	Nicserso	4
126	PlasticOtari	4
158	seanitoo	3
158	CLG_Kata	3
158	BigBootyHudge	3
158	hm947	3
158	Ryker	3
158	SyntheticSurgeon	3
158	Alteriity	3
158	SOA1RR	3
158	Kuragari_	3
158	MOSS000	3
158	Archsam	3
158	FirsTimeGamingTV	3
158	Frxnkz	3
158	Tiberonus	3
158	TheThomas69	3
158	pr33tu	3
158	_Dean_123	3
158	4774	3
158	benediktine1	3
158	mimbo1211	3
158	shadowthemonkey	3
158	CarltheCuck	3
158	Chromary	3
158	Rumpletaezer	3
158	Skylord_Luke	3
158	TheShyPig	3
158	DC_XII	3
158	KeruNatsema	3
158	zToasty69z	3
158	EdGalbraith	3
158	Toiton	3
158	Manaateee	3
158	_Karmaa	3
158	Xclax101	3
158	GravitySaint	3
158	Groundler	3
158	Ze_BaronKrigler	3
158	Razzgriz	3
158	stavgod	3
158	ayamefag	3
158	voiding_	3
158	AssFullaCum	3
158	starbits140	3
158	miramyu	3
158	obzii	3
158	Njensen7	3
158	laron58	3
158	cichy096	3
158	momis24	3
158	Powowowow	3
158	UrbanPlanningEx	3
158	Jimb0nat0r	3
158	FishisTTV	3
211	NatalieTW	2
211	Tobinator_007	2
