rank	username	minecraft:dropped/minecraft:chiseled_tuff_bricks
1	Spaghettatron	31
2	Eczbek	26
3	thewindmillman	25
4	oscminus	17
5	MyMawgDonaldsGon	10
6	CLG_Kata	1
6	net_flex	1
6	lpinfinity	1
6	Buuck_	1
