rank	username	minecraft:dropped/minecraft:polished_diorite_stairs
1	lordpipe	67
2	Werbe	64
3	Mookle96	53
4	burbankbuilder28	32
5	lillips	28
6	KarlKaek	21
7	Moofyman	20
8	Da_Boss_Rani	8
8	_naturell	8
8	Matorz	8
11	beeperbeeper5	7
12	noam464	5
13	Ardennes	4
13	SSytex_X	4
15	MrExplorer	3
16	SaucyDark	2
16	Cryptacity	2
16	kekhon	2
16	500am	2
16	Winklepicker279	2
16	Soplight	2
16	TechnoNinja64	2
16	Teebone15	2
24	seanitoo	1
24	LittleBug562	1
24	ATrojansLegend	1
24	jacxhadow	1
24	MattieHD	1
24	BlueZabu	1
24	Marbz_	1
24	Akoot_	1
24	MyNameIsDakar	1
24	Blu3beast	1
24	AltnumberF4	1
