rank	username	minecraft:dropped/minecraft:dark_prismarine
1	EcksD	26415
2	Hyp3rion_	17882
3	noam464	14441
4	Frozil20	2017
5	eitanzaki	1118
6	skitzxo	842
7	Lez_	785
8	Spacewardharpy7	451
9	Blaiku	382
10	Kowcio_	344
11	diamondgolem35	343
12	rarrq	327
13	Enderxz3	321
14	groofles	320
15	Ezekson	220
16	Snowflowe	211
17	set67	192
17	Eraxa	192
19	Jimb0nat0r	160
20	Fuad_R	156
21	beeperbeeper5	142
22	CliffEmAll	139
23	YungMaki	135
24	Steelynan	128
25	Yamdalorian	127
26	DinoDoctor_	100
27	ImpavidArcher	99
28	gcaisawesome	95
29	PazinGaming	93
30	Mr_Byzantine	85
31	thewindmillman	80
31	DarlaMeow	80
33	thescout7	78
34	Vorlice	77
35	pintsizedrogue	73
36	PigDab	65
37	I_Am_Mushkin	64
37	gren_ben	64
37	SpacesickPrism	64
40	Segotep999	61
41	LetsDoItLive	59
42	lizardfightclub	52
42	shrimp_flips	52
44	xDraggin	41
45	KarlKaek	39
46	TheSandwhich_	33
47	_Huge_Male_	31
48	blackeemperor	29
49	Bumpy419	27
50	MattieHD	24
51	Maenara	23
51	FishisTTV	23
53	WyngGoy	22
54	goldyx	21
55	PlasticOtari	20
56	Arceus1975	19
57	Merv__	18
58	Blackberry1310	16
58	Zythose	16
60	vandmanden	13
61	SmashingPump	12
61	Mahoose	12
61	Kakolbus	12
61	Nicserso	12
65	BeardBois	11
66	Comma__	10
66	stavgod	10
66	Iamthejo	10
66	KamFurnace	10
70	MAns_44	9
71	Sleepy_Evelyn	8
71	True_Clipse	8
71	Tyrannosplart	8
71	Gus2005	8
71	MakeHistory157	8
71	Spenduh	8
77	Awyrlas	7
77	Vellu21	7
79	12Magner05	6
79	EveryonesUncle	6
79	Racengan	6
82	kekhon	5
82	NomadicRobin_	5
82	Manaateee	5
82	MrShojo	5
82	Dogcorn69420	5
87	ECstardust	4
87	Iagoku	4
87	ZaneABrain	4
87	ratglock	4
87	TheSecondLord	4
87	PegLegPete93	4
87	surfinggiraffejp	4
87	Marbz_	4
87	thgrocks	4
87	Barlycorn	4
87	UrbanPlanningEx	4
87	Zoeyfortnite	4
99	Groovy_MoonBird	3
99	MrKrabOnCoke	3
99	jnp_gaming	3
102	k_ce	2
102	Alteriity	2
102	ShedJr_	2
102	shadowthemonkey	2
102	Di_infiri	2
102	Azmodan_246	2
102	Lord_Jord	2
102	fkGrim	2
102	SvenskaHugo	2
102	Fizznut909	2
102	obzii	2
102	HesDemonPants	2
114	elicobnoah	1
114	Sabby65	1
114	Huwulling	1
114	MSK__	1
114	skroobiez	1
114	Swexti	1
114	Sleepy_Time_	1
114	platinumzero	1
114	Jackattack53	1
114	Onennon	1
114	Mattesco	1
114	TheShyPig	1
114	luseis	1
114	JESS_THE_RERE	1
114	BumbleBeever	1
114	lordpipe	1
114	pixelviolin	1
114	ediballbearings	1
114	ProbsNotNova	1
114	TechnoNinja64	1
114	Biites	1
114	h2p_emrld	1
114	TheWickedBird	1
114	diggydog67	1
