rank	username	minecraft:dropped/minecraft:green_stained_glass
1	Hyp3rion_	64740
2	hanaryheatwave	1728
3	Spacewardharpy7	384
4	noam464	354
5	lordpipe	290
6	Werbe	188
7	IamCL4SSY	176
8	txxskx	128
9	EcksD	121
10	oreee	112
11	beeperbeeper5	98
12	emreknugrlu	64
12	ConnorDanky_	64
12	jnp_gaming	64
15	_Dean_123	58
16	Kowcio_	27
17	BadenStayFly	19
18	TechnoNinja64	16
19	eitanzaki	13
20	_Nuf	12
21	_flud	11
22	Lez_	9
23	Nicserso	7
24	Groovy_MoonBird	6
24	Touched_Bread	6
24	Njensen7	6
27	TheSecondLord	5
28	rarrq	4
28	DTwenty	4
30	SaucyDark	3
31	PazinGaming	2
31	EveryonesUncle	2
31	Blaiku	2
34	RoskobiOne	1
34	Wooptey	1
34	Blackberry1310	1
34	xxPipperDipperxx	1
34	oscminus	1
34	luseis	1
34	NameGenerat0r	1
34	claivin	1
34	miramyu	1
34	_i_ERROR_i_	1
34	LuvLuvLove	1
