rank	username	minecraft:dropped/minecraft:crimson_stem
1	thewindmillman	164071
2	Hyp3rion_	111793
3	noam464	97351
4	eitanzaki	4085
5	EcksD	3499
6	Jackattack53	1953
7	_Mythic____	1711
8	Blaiku	1659
9	doublemaki	618
10	ConnorDanky_	424
11	MilleGrug	399
12	Spaghettatron	320
13	shadowthemonkey	302
14	Yamdalorian	275
15	Mr_Byzantine	254
16	emreknugrlu	203
17	GooseWithin	182
18	weabis	161
19	Jimb0nat0r	139
20	Werbe	128
21	beeperbeeper5	84
21	HellsSponge	84
21	SpacesickPrism	84
24	k_ce	78
25	Spacewardharpy7	67
26	set67	64
26	Marbz_	64
26	Enderxz3	64
29	_Razaria	63
30	_Huge_Male_	56
31	TheWildMateo	36
31	PigDab	36
33	Lez_	32
34	rarrq	25
34	trexgb	25
36	kekhon	22
36	NomadicRobin_	22
38	blackeemperor	21
39	CattSoup	20
40	Awyrlas	19
40	Colmer94	19
42	r123moore	18
43	AlexxO_o	16
44	RebelAndroid	15
44	12Magner05	15
46	q_wq	12
47	hm947	11
47	MightyWertu	11
47	jnp_gaming	11
50	Alteriity	8
50	Steelynan	8
50	Nicserso	8
53	Frozil20	7
53	SammiWolfGirl	7
55	pintsizedrogue	6
55	joethahobo	6
55	Zythose	6
55	CalebDHawk	6
59	Mahoose	5
59	AstreaTSS	5
59	Kowcio_	5
62	diamondgolem35	4
62	catandmoose	4
62	Snowflowe	4
62	GreedyFern8581	4
62	EfficientC52	4
67	ShedJr_	3
67	royal_2	3
67	Crowman1	3
67	Optiprimus	3
67	Segotep999	3
72	Auseawesome	2
72	BobDeBouwer1337	2
72	bloodbiter	2
72	MinttyFressh	2
72	Fullut	2
72	_witch_craft_	2
72	gamerlord1324	2
72	Rebytre	2
72	Lord_Jord	2
72	Wowful	2
72	Syropatathe	2
72	NumbaOneMunch	2
72	lordpipe	2
85	soundad	1
85	BlancoFlaco	1
85	TheSecondLord	1
85	Inchef	1
85	gcaisawesome	1
85	Winklepicker279	1
85	Di_infiri	1
85	hanaryheatwave	1
85	Skylord_Luke	1
85	Mattesco	1
85	cajibt	1
85	luseis	1
85	Manaateee	1
85	Fuad_R	1
85	Airem_Core	1
85	FiguraDei	1
85	IlkeCookes_	1
85	PlasticOtari	1
