rank	username	minecraft:dropped/minecraft:sculk_sensor
1	thewindmillman	3594
2	DinoDoctor_	78
3	Jackattack53	76
4	k_ce	64
4	joethahobo	64
6	pixelviolin	55
7	MrKrabOnCoke	30
8	Kowcio_	21
9	PazinGaming	13
10	Apollo_993	10
10	ECstardust	10
12	00000000-0000-0000-0009-01ff0c3e5e4f	9
13	Sleepy_Time_	8
14	beeperbeeper5	7
15	Segotep999	5
15	NATE_the_HALO	5
17	Alteriity	4
17	Lez_	4
17	TheSecondLord	4
17	TheBananaKat	4
21	pintsizedrogue	2
21	powercas_gamer	2
21	Mahoose	2
21	Kakolbus	2
21	hanaryheatwave	2
21	EdGalbraith	2
21	TheKingK_	2
28	EMC_	1
28	myaccountwasgone	1
28	nattybears	1
28	Huwulling	1
28	MattieHD	1
28	Secret_Canary	1
28	noam464	1
28	RebytreGT	1
28	Mr_Sun15	1
28	AlexxO_o	1
28	Luminad3	1
28	pretty_pink_reno	1
28	FiguraDei	1
28	StarCookiees_	1
28	YungMaki	1
28	ConnorDanky_	1
