rank	username	minecraft:dropped/minecraft:turtle_egg
1	500am	1206
2	thewindmillman	790
3	Racengan	379
4	Arceus1975	128
5	Mahoose	122
6	T045RTY	77
7	wTXop	64
8	Werbe	32
8	AssEatrAndLicker	32
10	AuroraValkyrie	29
11	k1ngGilgamesh	26
12	Blackberry1310	25
12	Smoke____	25
14	kekhon	23
15	Nagasaki_Riku	21
16	TechnoNinja64	20
17	Bandito_Roamer	18
17	Spacewardharpy7	18
19	noam464	15
20	YungMaki	14
20	lcvezra	14
22	H72l9w	13
23	Comma__	10
23	oxfordschool	10
23	vandmanden	10
26	youhjjhhhjj	8
26	EveryonesUncle	8
26	DarlaMeow	8
26	h2p_emrld	8
30	Nyxiom_	7
30	PigDab	7
32	ImpavidArcher	6
32	SquadMonster	6
32	xxPipperDipperxx	6
32	TheShyPig	6
32	lordpipe	6
37	Quotary	5
38	rarrq	4
38	Paintz	4
38	ogoa	4
38	Freak_Genius	4
38	LeeMcGee30	4
43	SteveCraftBlocks	3
44	eitanzaki	2
44	joethahobo	2
44	Zythose	2
44	Jonte0599	2
44	RodSerlingCringe	2
44	Maenara	2
44	Akoot_	2
44	Blu3beast	2
44	33sudo	2
53	pintsizedrogue	1
53	Tolhart	1
53	Jackster03	1
53	beeperbeeper5	1
53	Euclidoris	1
53	MattieHD	1
53	eviltunix	1
53	Chromary	1
53	Hyp3rion_	1
53	RobotMinion101	1
53	Shogunite	1
53	fluddd	1
53	Groundler	1
53	_TCARREIRA_	1
53	CalebDHawk	1
53	Nicserso	1
