rank	username	minecraft:dropped/minecraft:stone_brick_stairs
1	Akoot_	1499
2	kekhon	685
3	beeperbeeper5	641
4	rarrq	614
5	lordpipe	595
6	Skylord_Luke	580
7	FreakGenius	557
8	eitanzaki	548
9	AdmiralSmoke	485
10	anbbang	366
11	diamondgolem35	298
12	Werbe	271
13	IamCL4SSY	254
14	Frozil20	228
14	EcksD	228
16	PigDab	223
17	Lez_	216
18	Xclax101	212
19	Fullut	201
20	lorpus	186
21	_Dean_123	182
22	Cowison	170
23	cog	166
24	NomadicRobin_	164
25	Incinere	161
26	thewindmillman	148
26	Ezekson	148
28	Arceus1975	147
29	Comma__	139
30	Druid95	129
31	Mahoose	116
32	Jackattack53	107
33	HellsSponge	105
34	Maenara	104
35	EMC_	100
36	Onennon	96
37	FirsTimeGamingTV	93
38	livingdaydreams	91
38	set67	91
40	EveryonesUncle	90
41	Blaiku	87
42	TechnoNinja64	86
43	Kakolbus	84
44	Hyp3rion_	78
45	_Karmaa	74
46	Uzbeki_John	71
47	YungMaki	70
48	LetsDoItLive	66
49	xzvu	65
49	_TCARREIRA_	65
51	jacxhadow	64
51	TheThomas69	64
51	halfwayup	64
51	fffMike	64
51	_Dri_	64
56	FishyBoy3811	62
56	QuacksonThe3rd	62
56	Fuad_R	62
59	Kkanot	61
59	Blu3beast	61
61	Zoeyfortnite	60
62	TheSecondLord	59
62	benediktine1	59
62	whoaluv	59
62	HesDemonPants	59
66	Xalithia	58
66	burbankbuilder28	58
68	TheDankPlatypus	55
69	Kowcio_	54
70	Ecplosive	52
71	Merv__	47
71	12Magner05	47
71	Calbo_	47
74	Bumpy419	46
74	RobotMinion101	46
74	weabis	46
74	07shiny	46
78	Inchef	44
78	Eraxa	44
78	Zetsey	44
81	m_be9	43
82	Auseawesome	42
82	lcvezra	42
84	Vizzoid	41
85	LittleBug562	40
85	laron58	40
87	noam464	39
88	Ryan_GEMS	38
88	_Nuf	38
88	Di_infiri	38
91	theofiel	35
91	Skippeh	35
93	bloodbiter	32
94	Zythose	31
95	lizardfightclub	29
95	Spacewardharpy7	29
97	PeteO1995	28
98	MovingFish7	27
99	Quaintster	26
100	WET_WET_WET	25
100	layabout100	25
102	k_ce	23
102	xxPipperDipperxx	23
102	Racengan	23
105	mariominejedi	22
105	skrongus	22
107	TildaAndrea	21
107	Blackberry1310	21
107	UncreativeArtist	21
107	CalebDHawk	21
111	PhantomsGhost_	20
112	ImpavidArcher	19
112	Nicky_H225	19
112	thescout7	19
112	XboxPanda	19
116	PazinGaming	18
117	Sabby65	17
117	AlexxO_o	17
117	cringenaynaybaby	17
120	Megarboh	16
120	4774	16
120	Covalents	16
123	_Huge_Male_	15
123	BlueZabu	15
123	Tyrannosplart	15
126	Eraza	14
126	JETrotter	14
126	silverpopcorn	14
126	stellarjay	14
130	mwrty	13
131	Chromary	12
131	VentiHilton	12
133	SmashingPump	11
133	teslawolf38	11
133	ShedJr_	11
133	MattieHD	11
133	Corbsman	11
133	fkGrim	11
133	ConnorDanky_	11
140	LeonelSalamanca	10
141	Trixididntdie	9
141	Tjhodskins19	9
141	Fuhrer_Teemo	9
141	The_slideV3	9
141	Cocoamallows	9
141	krutas2000	9
147	Sleek_Storm_721	8
147	TheShyPig	8
147	wobn	8
147	__Auspicious	8
147	SvenskaHugo	8
147	pixelviolin	8
147	PortlyPete69	8
154	Alteriity	7
154	SquadMonster	7
154	bbrothers_5	7
154	NieToksikpl	7
154	Lord_Jord	7
154	DarlaMeow	7
154	mihimihimihi	7
154	iSammael	7
154	jcool7	7
163	selectrix	6
163	Matorz	6
163	Luigipunch989	6
166	AshleeCW	5
166	Da_Boss_Rani	5
166	Crowman1	5
166	corvidpartyfor6	5
166	SteveCraftBlocks	5
166	r123moore	5
166	Rebytre	5
166	TheWildMateo	5
166	HeraclesOGU	5
166	AssassinAshton	5
166	WyngGoy	5
177	Badenbeele	4
177	TrNrGhost	4
177	Jindong	4
177	Bad_At_Names_Guy	4
177	ThePoliteG	4
