rank	username	minecraft:dropped/minecraft:spruce_pressure_plate
1	Tolhart	210
2	Racengan	32
2	AltnumberF4	32
4	ProfessorBee	16
5	Bumpy419	12
5	Kyrum2169	12
7	TheShyPig	10
7	EveryonesUncle	10
9	Ze_BaronKrigler	9
9	CalebDHawk	9
11	Hyp3rion_	8
11	_Bguette_	8
13	chipklip	6
14	SaucyDark	5
14	eitanzaki	5
14	rarrq	5
14	Freak_Genius	5
14	Nicserso	5
19	Sleek_Storm_721	4
19	Chromary	4
19	the_russell1611	4
19	MovingFish7	4
19	Steelynan	4
19	Zoeyfortnite	4
25	Blackberry1310	3
25	Felenov	3
25	Xclax101	3
25	CSG_Haru	3
25	YungMaki	3
25	UltraZombie	3
31	Groovy_MoonBird	2
31	dabloons	2
31	Tommhh	2
31	Mahoose	2
31	tramizu	2
31	_Dean_123	2
31	Uzbeki_John	2
31	Covalents	2
31	fr_ser	2
31	MyNameIsJobo	2
31	Arceus1975	2
31	domagawha	2
31	Onennon	2
31	Austinizzle	2
31	fkGrim	2
31	HellsSponge	2
31	Eraxa	2
31	Miko_Fullbuster	2
31	Powowowow	2
31	Smoke____	2
51	Dedalus36	1
51	hm947	1
51	Hpdinosaur	1
51	tsohomie	1
51	beeperbeeper5	1
51	jushykins	1
51	kekhon	1
51	500am	1
51	Kamflame10	1
51	thescout7	1
51	ROY4LE	1
51	r123moore	1
51	noam464	1
51	DermeinUser	1
51	M_Patata	1
51	BlueZabu	1
51	SlayerCrypto	1
51	WET_WET_WET	1
51	pappaberg	1
51	DAD_1996	1
51	CruncyIsTaken	1
51	LeGold	1
51	Jiminie	1
51	Blu3beast	1
51	ItzWqlfy	1
51	Dusk_95	1
51	MasterNueve	1
51	OG_Songsee	1
51	layabout100	1
51	carbo_bro	1
51	PlzNoBM	1
51	EcksDofficial	1
51	Jordan_R	1
51	CrazyPotater	1
