rank	username	minecraft:dropped/minecraft:black_dye
1	thewindmillman	961770
2	noam464	58510
3	EcksD	26684
4	Blaiku	3180
5	PigDab	3123
6	Frozil12	2344
7	Spacewardharpy7	1729
8	lillips	1204
9	beeperbeeper5	630
10	Wowful	576
11	Comma__	331
12	set67	320
13	kekhon	281
14	oxfordschool	241
15	jushykins	212
16	lordpipe	192
17	TheSecondLord	176
18	Segotep999	174
19	chipklip	128
20	r123moore	122
21	eitanzaki	117
22	Mahoose	113
23	youhjjhhhjj	96
24	Blackberry1310	90
25	Hyp3rion_	85
26	Freak_Genius	73
27	hm947	68
28	joethahobo	67
29	NomadicRobin_	66
29	SammiWolfGirl	66
29	Smoke____	66
32	PortlyPete69	65
32	EcksDofficial	65
34	_Virify_	64
34	HellsSponge	64
34	NameGenerat0r	64
34	__tomato	64
34	Skippeh	64
34	The_SlideV5	64
40	SteveCraftBlocks	59
41	ImpavidArcher	55
42	500am	52
43	fluddd	46
43	_TCARREIRA_	46
45	Dusk_95	44
46	Di_infiri	43
47	seramalen	42
48	Kyrum2169	35
48	TechnoNinja64	35
50	ApophisNova	31
50	sadvavilloso	31
50	MyNamaSheff	31
50	Zoeyfortnite	31
54	rarrq	29
55	binman420	21
56	Werbe	19
57	anbbang	18
58	NotTrixi	16
59	HAIRYCLOUD626	15
60	Snowflowe	14
60	MovingFish7	14
62	Enderslayerxz3	13
63	Kakolbus	12
64	Racengan	11
65	MinuteMira	10
66	_Dean_123	9
66	LeGold	9
66	Xclax101	9
69	_Boipl_	8
70	Groovy_MoonBird	7
70	M_Patata	7
70	TheSeismicDuck	7
70	MasterNueve	7
74	Cryptacity	6
74	Voxin2K	6
74	Fuad_R	6
74	Eraxa	6
74	Kowcio_	6
79	I_Am_Mushkin	5
80	Mr_Byzantine	4
80	dabloons	4
80	Nach0Bear	4
80	eviltunix	4
80	gustarbite	4
80	ayamefag	4
86	JEWISHBadenBeele	3
86	12Magner05	3
86	burbankbuilder28	3
86	Rebytre	3
86	Leyna3	3
86	Lord_Jord	3
86	Blu3beast	3
86	CalebDHawk	3
86	_Wannabe_	3
86	smogfrog	3
86	jnp_gaming	3
97	SaucyDark	2
97	Reamdin	2
97	Euclidoris	2
97	Bumpy419	2
97	claivin	2
97	pixelviolin	2
97	lcvezra	2
97	kinas45y5	2
105	Bandito_Roamer	1
105	teslawolf38	1
105	TooManyDuck	1
105	Prismyst	1
105	CliffEmAll	1
105	Inchef	1
105	The11thDoctor	1
105	Mattesco	1
105	Rasmanden	1
105	fw3xywashere	1
105	SkateboardR6	1
105	Cocoamallows	1
105	TheEnderman548	1
105	djancak	1
105	Nekomin0	1
105	LeeMcGee30	1
105	Hermanni__	1
105	Ezekson	1
105	vandmanden	1
105	JohnPrice	1
