rank	username	minecraft:dropped/minecraft:quartz_bricks
1	Hyp3rion_	6126
2	Jackattack53	2944
3	beeperbeeper5	398
4	Yamdalorian	355
5	diamondgolem35	192
6	emreknugrlu	132
7	JohnnyFyes	106
8	Awyrlas	94
9	Spacewardharpy7	85
10	deleteduser3c11b	80
11	joethahobo	69
12	SmashingPump	64
12	MrShojo	64
14	FreakGenius	59
15	The_Quack_Dealer	58
16	KarlKaek	53
17	Ezekson	46
18	Blackberry1310	42
19	eitanzaki	41
20	Mahoose	33
21	Huwulling	27
22	Akoot_	25
23	EcksD	23
24	ConnorDanky_	21
25	Frozil20	20
26	noam464	17
27	paranoid_plant	12
28	luseis	10
28	Segotep999	10
30	SkateboardR6	8
31	FishyBoy3811	7
31	Fuad_R	7
33	kekhon	6
33	Samificator	6
33	Lord_Jord	6
36	LexMakesHistory	5
37	Lez_	4
37	set67	4
39	SoosAmongus	3
39	hdtpm	3
39	TheSandwhich_	3
42	ImpavidArcher	2
42	500am	2
42	Werbe	2
42	Mattesco	2
42	lordpipe	2
42	Kowcio_	2
42	hermmm_	2
42	PlasticOtari	2
50	pintsizedrogue	1
50	k_ce	1
50	ECstardust	1
50	Ryan_GEMS	1
50	BobDeBouwer1337	1
50	Smashic	1
50	Skylord_Luke	1
50	EveryonesUncle	1
50	Shogunite	1
50	monky_irl	1
50	SammiWolfGirl	1
50	Eczbek	1
