rank	username	minecraft:dropped/minecraft:short_grass
1	thewindmillman	625
2	luseis	303
3	GooseWithin	256
4	EveryonesUncle	231
5	Akoot_	230
6	Jackattack53	205
7	Arceus1975	159
8	lorywithay	136
8	F_Uhre	136
10	hm947	99
11	Lez_	79
12	Enderxz3	78
13	Kowcio_	75
14	Merv__	68
15	EMC_	66
16	CalebDHawk	64
17	beeperbeeper5	60
18	rarrq	59
19	Groovy_MoonBird	45
20	SpacesickPrism	44
21	Fullut	42
22	Blackberry1310	37
23	pintsizedrogue	36
24	bl1ss0	32
24	FiguraDei	32
26	hanaryheatwave	27
26	Xclax101	27
28	Pumpkin_P_Patch	23
29	CoffeeNoir	19
30	_Dean_123	18
30	SvenskaHugo	18
32	wwwwinnebagoooo	17
33	Manaateee	16
34	TheSecondLord	14
35	powercas_gamer	13
35	NameGenerat0r	13
37	PazinGaming	12
37	lordpipe	12
39	Kakolbus	11
39	Racengan	11
41	500am	10
42	_witch_craft_	9
42	Legendosh	9
44	Mr_Byzantine	8
44	Soplight	8
44	Yamdalorian	8
47	U_Mos_	7
47	MisfitsMike	7
47	TheWickedBird	7
50	BronkerBrum	6
50	Rebytre	6
50	cutelilreno	6
50	Steelynan	6
54	MyMawgDonaldsGon	5
54	TheKingK_	5
56	noam464	4
56	Jekyll	4
56	MrShojo	4
59	shineh10	3
59	joethahobo	3
59	royal_2	3
59	12Magner05	3
59	Secret_Canary	3
59	SvenskaSara	3
59	oscminus	3
59	Skylord_Luke	3
59	CacheOut	3
59	hermmm_	3
69	k_ce	2
69	Caribouse	2
69	Tersea_	2
69	craaaash	2
69	Buuck_	2
69	Skippeh	2
75	H0UNDFRMH3LL	1
75	Saucepeh	1
75	Crowman1	1
75	MattieHD	1
75	SteveCraftBlocks	1
75	Kamflame	1
75	Aakvaa	1
75	PigDab	1
75	Blaiku	1
75	Spacewardharpy7	1
75	robonya_	1
75	Ezekson	1
