rank	username	minecraft:dropped/minecraft:echo_shard
1	Jackattack53	17
2	AlexxO_o	16
3	ECstardust	8
3	Kowcio_	8
5	DinoDoctor_	7
5	NATE_the_HALO	7
7	Apollo_993	6
7	noam464	6
9	EMC_	5
10	MyMawgDonaldsGon	2
10	luseis	2
10	Enderxz3	2
13	k_ce	1
13	MrShojo	1
