rank	username	minecraft:dropped/minecraft:bubble_coral_block
1	500am	144
2	Maenara	60
3	Onennon	55
4	_Bguette_	40
5	thewindmillman	28
6	Blaiku	27
7	Jackattack53	23
8	Skylord_Luke	20
9	CollinMH06	12
9	Arceus1975	12
9	lillips	12
12	Inchef	11
13	Faart	10
14	AlexxO_o	5
15	Hyp3rion_	3
15	Quaintster	3
17	12Magner05	2
17	FreakGenius	2
19	ImpavidArcher	1
19	livingdaydreams	1
19	Lez_	1
19	aec9	1
19	fluddd	1
19	FishisTTV	1
