rank	username	minecraft:dropped/minecraft:tall_grass
1	H72l9w	4
1	kekhon	4
3	fxiryglitch	2
3	YungMaki	2
5	joethahobo	1
5	beeperbeeper5	1
5	Blackberry1310	1
5	kiluaemc	1
