rank	username	minecraft:dropped/minecraft:smithing_table
1	Blaiku	54
2	eitanzaki	5
3	MirielThePastor	4
4	Blackberry1310	3
4	Snowflowe	3
4	Racengan	3
7	CLG_Kata	2
7	Ssor69	2
7	Smashic	2
7	thewindmillman	2
7	lordpipe	2
7	Ezekson	2
7	skrongus	2
14	SaltineDream	1
14	Bandito_Roamer	1
14	RoskobiOne	1
14	SmashingPump	1
14	gren_ben	1
14	NinjaKnifeKill	1
14	Lez_	1
14	uhm__okay	1
14	Comma__	1
14	kekhon	1
14	ProfessorBee	1
14	_Magdo_	1
14	noam464	1
14	Di_infiri	1
14	Jackattack53	1
14	Werbe	1
14	The11thDoctor	1
14	Mattesco	1
14	PigDab	1
14	Hail_the_wombat	1
14	NomadicRobin_	1
14	MinuteMira	1
14	fluddd	1
14	Kyrum2169	1
14	Spenduh	1
14	cichy096	1
14	Nicserso	1
14	TechnoNinja64	1
