rank	username	minecraft:dropped/minecraft:oak_stairs
1	Freak_Genius	412
2	hcb238	264
3	chipklip	192
4	thewindmillman	180
5	emrekn	176
6	Bumpy419	160
7	Racengan	157
8	kekhon	138
9	FishisTTV	122
10	EMC_	117
11	Blackberry1310	116
12	Sky_light_KING	111
13	DarkS0L	99
14	El_Jalapeno	98
15	Shin69	97
16	Soap_Bender	89
17	Gingayy	85
18	xo_Marren_xo	83
19	jnp_gaming	79
20	Dan_Scha	75
21	Uzbeki_John	74
22	Blu3beast	73
23	ProbsNotNova	65
24	I_Am_Mushkin	60
25	Alteriity	58
26	Skylord_Luke	57
27	joethahobo	56
28	MAns_44	52
29	Arceus1975	51
30	Incinere	49
30	Z3braYTIL	49
32	GoigeFZ	48
33	EveryonesUncle	47
34	Akoot_	46
35	_KuruKuru	45
36	Ssor69	43
37	lillips	41
38	ReyTheLegend	40
39	jcool7	39
40	ColeSnyder	37
40	Werbe	37
40	Calbo_	37
43	EcksD	36
44	Menthas	35
45	ElKaySVK	33
46	Wooptey	29
46	Rebytre	29
46	lordpipe	29
49	Hyp3rion_	27
50	Warlord324	26
51	jewbacaman	25
52	eitanzaki	24
52	Zlatovlas	24
52	ToastedGamingYT	24
52	TechnoNinja64	24
56	CoffeeNoir	23
56	_Boipl_	23
56	iSammael	23
59	Groovy_MoonBird	22
60	Drewen24	21
61	CollinMH06	20
61	MonitorLizards	20
63	TheSecondLord	18
64	_Dean_123	17
64	AltnumberF4	17
66	TableTim	16
66	Lord_Jord	16
66	fluddd	16
69	loveseeker	15
69	Kowcio_	15
71	noam464	14
71	Di_infiri	14
71	MinerDec	14
71	epiksk8erduck	14
71	PigDab	14
71	_Karmaa	14
71	UCP_TheKingK	14
71	Spenduh	14
79	Smashic	13
80	PhantomsGhost_	12
80	Ravenbie	12
80	Guillemet	12
80	thescout7	12
80	Wowful	12
80	Ezekson	12
86	DarlaMeow	11
86	SSytex_X	11
88	Sleek_Storm_721	10
88	MrKrabOnCoke	10
88	beeperbeeper5	10
88	fallingemma	10
88	breadbowlgamer	10
88	cichy096	10
88	TheRealHi	10
95	bloodbiter	9
96	crying_wolf_13	8
96	SellyZ	8
96	SokaOtaku	8
96	seramalen	8
96	groofles	8
96	TheTrueClipse	8
96	Fuad_R	8
96	Xclax101	8
96	_k2x	8
96	SvenskaHugo	8
96	Segotep999	8
96	MelodyGaysharks	8
96	Freedrik	8
109	MyNameIsJobo	7
109	wrinkledpiglet	7
109	fkGrim	7
109	ChronoSounds	7
109	__Auspicious	7
109	07shiny	7
115	SaucyDark	6
115	SquadMonster	6
115	Mimiir345	6
115	Ozixar	6
115	AdvertisingMerc	6
115	Paintz	6
115	WET_WET_WET	6
115	Shiirazuku	6
115	Spacewardharpy7	6
115	_Wannabe_	6
115	oxfordschool	6
126	Mahoose	5
126	jushykins	5
126	ItzYaBoiPicard	5
126	MousePlays	5
126	LilLizardWizard	5
126	AlphaWolfPlaysMC	5
126	Groundler	5
126	Luigipunch989	5
126	KingMatthew506	5
135	rarrq	4
135	JMK208	4
135	whoaluv	4
135	Afinnity	4
135	Typadopoulos	4
135	silverpopcorn	4
135	SkateboardR6	4
135	Cocoamallows	4
135	Kyrum2169	4
