rank	username	minecraft:dropped/minecraft:enchanted_book
1	TechnoNinja64	771
2	noam464	646
3	eitanzaki	627
4	Dedalus36	420
5	Hyp3rion_	355
6	Racengan	354
7	thewindmillman	351
8	FishyBoy3811	300
9	Harotio	246
10	Di_infiri	213
10	Cocoamallows	213
12	Blaiku	205
13	fw3xywashere	201
14	SaucyDark	199
15	beeperbeeper5	189
16	kekhon	167
17	EcksD	154
18	PigDab	150
19	HellsSponge	138
20	chipklip	136
20	Blu3beast	136
22	Freak_Genius	116
23	InfernalMound	104
24	_Virify_	99
25	Jackattack53	85
26	MightyWertu	77
27	Comma__	75
28	jcool7	73
29	Werbe	72
30	Bumpy419	71
31	Mahoose	70
32	Spacewardharpy7	69
33	Smoke____	67
34	mwrty	66
35	stahouo	62
36	BreadBacon	61
37	Kyrum2169	59
38	Quaintster	58
38	Hisiste	58
40	TheSecondLord	55
41	Skylord_Luke	48
42	CruncyIsTaken	47
43	vandmanden	46
44	joethahobo	42
45	Segotep999	40
46	Blackberry1310	38
47	k1ngGilgamesh	36
48	Mewar	35
48	Noah_Bez	35
50	Merv__	34
50	BumbleBeever	34
50	Ezekson	34
53	Inbefour	33
53	bloomkieren	33
55	rarrq	32
56	RebelAndroid	31
56	Zoeyfortnite	31
58	Groovy_MoonBird	30
58	500am	30
60	Akoot_	29
60	fffMike	29
62	Snowflowe	28
62	oxfordschool	28
64	NYJ	27
64	Groundler	27
64	Soplight	27
67	Isaac70096	26
67	claivin	26
69	Prodiginus	25
69	ratglock	25
69	Sral7	25
69	The_SlideV5	25
73	Bandito_Roamer	24
73	MattieHD	24
73	ProbsNotNova	24
76	Da_Boss_Rani	23
76	fluddd	23
76	_Yonk_	23
79	thescout7	22
79	sammidk	22
79	audiocracked	22
79	ItzWqlfy	22
79	__tomato	22
84	jnp_gaming	21
85	mariominejedi	20
85	BRRRN179	20
85	Skippeh	20
88	Sky_light_KING	19
88	GlitchyPlate810	19
90	Rebytre	18
90	censorsheep	18
90	h2p_emrld	18
93	pintsizedrogue	17
93	masskedman	17
93	EveryonesUncle	17
93	Steelynan	17
97	Wooptey	16
97	Historical_Sand	16
97	gcaisawesome	16
97	lcvezra	16
97	potatocan	16
97	Enderslayerxz3	16
97	Powowowow	16
104	CoffeeNoir	15
104	gustarbite	15
106	teslawolf38	14
106	ImpavidArcher	14
106	Lord_Jord	14
106	pixelviolin	14
106	LeeMcGee30	14
111	XboxPanda	13
111	fred870d	13
111	The_slideV3	13
111	YungMaki	13
111	DennyKai	13
111	Kferno	13
117	T045RTY	12
117	KomputerDude	12
117	ProfessorBee	12
117	eiC_	12
117	fkGrim	12
117	sp00ky_ghost977	12
117	FelixPSY375	12
124	JEWISHBadenBeele	11
124	CompAir	11
124	Euclidoris	11
124	Kkanot	11
124	set67	11
124	intropass	11
124	Avermu	11
124	SvenskaAlvar	11
124	LordSpeed37	11
124	Shin69	11
134	EMC_	10
134	Fullut	10
134	CollinMH06	10
134	CaptainDeadBread	10
134	jewbacaman	10
134	Vorlice	10
140	PhantomsGhost_	9
140	pZygh0st	9
140	6king6colt6	9
140	Sebastiannlol	9
140	MinttyFressh	9
140	NotKaden_	9
140	WET_WET_WET	9
140	RodSerlingCringe	9
140	lordpipe	9
140	Spenduh	9
140	laron58	9
140	StamWolf	9
140	sumwun19	9
140	JayToe	9
140	FishisTTV	9
155	bigstankyy	8
155	hm947	8
155	youhjjhhhjj	8
155	slkiey	8
155	Dali1465	8
155	Inchef	8
155	Septemb3r	8
155	mimbo1211	8
155	loveseeker	8
155	MyNameIsJobo	8
155	Chromary	8
155	Arceus1975	8
155	ApophisNova	8
155	MeanTugger	8
155	TheTrueClipse	8
155	NomadicRobin_	8
155	TheSeismicDuck	8
155	Soap_Bender	8
155	the__Reaper4999	8
155	Razzgriz	8
155	Sheldor097	8
155	MyNamaSheff	8
155	trexgb	8
178	ccwildfire1	7
178	Frxnkz	7
178	Xalithia	7
178	Rumpletaezer	7
178	Zythose	7
178	LilyNova	7
178	Jonte0599	7
178	PuFY	7
178	_TCARREIRA_	7
178	Miko_Fullbuster	7
178	EcksDofficial	7
189	AuroraValkyrie	6
189	KarlKaek	6
189	Iagoku	6
189	Incinere	6
189	livingdaydreams	6
189	ShedJr_	6
189	Myszoaz	6
189	egglapras	6
189	ROY4LE	6
189	M_Patata	6
189	Ecplosive	6
189	fr_ser	6
189	CheesyToess	6
189	killmeiamtraitor	6
189	lizardfightclub	6
189	lillips	6
189	_Karmaa	6
189	Airem_Core	6
189	WyngGoy	6
189	ayamefag	6
189	KG1999	6
189	Kubeusz2010	6
189	AltnumberF4	6
189	kinas45y5	6
189	Wanjibon	6
214	maxdacatv2	5
214	I_Am_Mushkin	5
214	m_be9	5
214	xxPipperDipperxx	5
214	Onennon	5
214	Vetral1	5
214	CJPerson	5
214	DemTechAlpha	5
214	NameGenerat0r	5
214	Warlord324	5
214	MasterNueve	5
214	MakeHistory157	5
214	33sudo	5
214	Eraxa	5
214	ediballbearings	5
214	MilleGrug	5
214	_Dri_	5
231	heysushii	4
231	RoskobiOne	4
231	dabloons	4
231	Hpdinosaur	4
231	jimintyy	4
231	H72l9w	4
231	SquadMonster	4
231	firesgal3116	4
231	YungJakobo	4
231	_Nuf	4
231	Truckoss	4
231	Zielo2017PL	4
231	MousePlays	4
231	Leyna3	4
231	OLookItsAnxiety	4
231	_Bguette_	4
231	the_russell1611	4
231	JESS_THE_RERE	4
231	geekbird	4
231	OG_Songsee	4
231	ElectricDragon81	4
231	SammiWolfGirl	4
231	Dogcorn69420	4
231	Yahrto	4
255	seanitoo	3
255	peachfuzz1267	3
255	JohnnyFyes	3
255	diamondgolem35	3
255	NotP0tato	3
255	TooManyDuck	3
255	_AceOfSpace_	3
255	chlorinex	3
255	titanlax	3
255	Ardennes	3
255	Motsaro	3
255	SellyZ	3
255	dragonwarrior206	3
255	King_Pancake1	3
255	SokaOtaku	3
255	Ender_Souls	3
255	_naturell	3
255	TJawesome09	3
255	Maenara	3
255	SpookyDraggin	3
255	KnightmareD	3
255	Jiminie	3
255	Deodorante	3
255	RoBe__	3
255	El_Jalapeno	3
255	Xclax101	3
255	Barlycorn	3
255	__Auspicious	3
255	SkateboardR6	3
255	MovingFish7	3
255	ItsDeltaMC	3
255	SvenskaHugo	3
255	PortlyPete69	3
255	CalebDHawk	3
255	Hermanni__	3
255	RadarHz	3
255	2blox	3
255	YoshikageBites	3
255	Kateesaur	3
294	Lepthymo	2
294	fanofbands101	2
294	Haficzeq6984	2
294	Ze1ig	2
294	The_Dark_One_00	2
294	Nesquiczek	2
294	Hyugo	2
