rank	username	minecraft:dropped/minecraft:jungle_sapling
1	Spacewardharpy7	1274
2	thewindmillman	950
3	Hyp3rion_	526
4	EveryonesUncle	206
5	Smoke____	181
6	Winklepicker279	83
7	Di_infiri	74
8	Mahoose	68
9	TechnoNinja64	56
10	eitanzaki	51
11	Blaiku	40
12	beeperbeeper5	32
13	bladeefan2009	24
14	HellsSponge	23
15	Werbe	22
16	joethahobo	20
16	Onennon	20
18	Merv__	18
19	Huwulling	16
20	noam464	15
20	HELLO_I_AM_BEAR	15
20	Nycteus_	15
23	Hermanni__	13
24	SmashingPump	12
24	500am	12
26	Enderxz3	11
27	kekhon	10
28	pintsizedrogue	8
28	Lez_	8
28	Jakobo1337	8
28	Windo_licker	8
28	BronkerBrum	8
28	claivin	8
28	SvenskaHugo	8
28	ConnorDanky_	8
36	Prodiginus	7
36	Jackattack53	7
36	Xclax101	7
39	Blackberry1310	6
39	Marbz_	6
39	WET_WET_WET	6
39	luseis	6
39	Aezekial	6
39	lordpipe	6
39	Kowcio_	6
46	peachfuzz1267	5
46	ZaneABrain	5
46	MrKrabOnCoke	5
46	TheSecondLord	5
46	_Nuf	5
46	MyNameIsJobo	5
46	Akoot_	5
46	Blu3beast	5
46	Soplight	5
46	Steelynan	5
46	Ezekson	5
57	BlancoFlaco	4
57	Cryptacity	4
57	Nicky_H225	4
57	Yirtle	4
57	himak1	4
57	SaintJosie	4
57	Airem_Core	4
57	Factoroni	4
57	Lord_Doob	4
57	Kferno	4
57	Skippeh	4
68	Frozil20	3
68	Incinere	3
68	Sna_Ke	3
68	Da_Boss_Rani	3
68	Smashic	3
68	mwrty	3
68	DAD_1996	3
68	ese_wn_po	3
68	RoofTyler	3
77	ShedJr_	2
77	InfernalMound	2
77	Kamflame10	2
77	gcaisawesome	2
77	adeptius	2
77	Zythose	2
77	Bumpy419	2
77	Fuad_R	2
77	MovingFish7	2
77	lcvezra	2
77	Nicserso	2
88	Groovy_MoonBird	1
88	Bandito_Roamer	1
88	T045RTY	1
88	CoffeeNoir	1
88	Historical_Sand	1
88	Michaelelelelele	1
88	titanlax	1
88	12Magner05	1
88	MattieHD	1
88	thescout7	1
88	PegLegPete93	1
88	2Stout	1
88	benediktine1	1
88	moonman169	1
88	epiksk8erduck	1
88	groofles	1
88	natajimi	1
88	NameGenerat0r	1
88	monky_irl	1
88	sp00ky_ghost977	1
88	__tomato	1
88	Drawgirl	1
88	KingMatthew506	1
88	alderban107	1
