rank	username	minecraft:dropped/minecraft:cartography_table
1	500am	36
2	EMC_	7
2	Lez_	7
4	noam464	6
5	Toriankel	4
6	emreknugrlu	3
6	FreakGenius	3
6	Luigipunch989	3
9	TylerDupree	2
9	Jackattack53	2
9	stavgod	2
9	Eraxa	2
13	RoskobiOne	1
13	fanofbands101	1
13	SmashingPump	1
13	ImpavidArcher	1
13	Wooptey	1
13	eitanzaki	1
13	livingdaydreams	1
13	MSK__	1
13	beeperbeeper5	1
13	rarrq	1
13	Scattman_	1
13	Fullbit_	1
13	Pineapplesugr	1
13	Touched_Bread	1
13	BlueZabu	1
13	Snowflowe	1
13	Onennon	1
13	Mattesco	1
13	Kynigito	1
13	jewbacaman	1
13	Mr_Froxy	1
13	HeraclesOGU	1
13	EfficientC52	1
13	Blu3beast	1
13	fluddd	1
13	Blaiku	1
13	IdeallyGrey	1
13	pixelviolin	1
13	Kowcio_	1
13	Soplight	1
13	cichy096	1
