rank	username	minecraft:dropped/minecraft:purple_stained_glass
1	Hyp3rion_	108341
2	hanaryheatwave	1753
3	thewindmillman	969
4	emreknugrlu	375
5	FishisTTV	324
6	__Auspicious	256
7	Kowcio_	209
8	lordpipe	196
9	Manaateee	164
10	noam464	130
11	jnp_gaming	119
12	Blaiku	102
13	Yamdalorian	70
14	ConnorDanky_	64
15	Lez_	39
16	EcksD	31
17	Touched_Bread	16
18	Mahoose	11
19	Enderxz3	10
20	_Nuf	9
20	AltnumberF4	9
22	Sleek_Storm_721	8
22	Blu3beast	8
24	Di_infiri	7
24	Dogcorn69420	7
26	Pumpkin_P_Patch	6
27	TheSecondLord	4
27	Jackattack53	4
27	luseis	4
27	AspenLightVT	4
27	_i_ERROR_i_	4
32	SaucyDark	3
32	beeperbeeper5	3
32	VentiHilton	3
35	SteveCraftBlocks	2
35	Snowflowe	2
35	oscminus	2
35	UrbanPlanningEx	2
39	Hpdinosaur	1
39	MattieHD	1
39	XboxPanda	1
39	Werbe	1
39	Onennon	1
39	EveryonesUncle	1
39	_Meow_Mix	1
