rank	username	minecraft:dropped/minecraft:spruce_fence_gate
1	EcksD	1513
2	noam464	964
3	Blu3beast	91
4	kekhon	70
5	AuroraValkyrie	34
6	eitanzaki	32
7	MrKrabOnCoke	28
8	M_Patata	22
8	MasterNueve	22
10	Sleepy_Time_	21
11	beeperbeeper5	20
11	Zaridey	20
13	BlueZabu	16
14	Huwulling	14
14	Skylord_Luke	14
16	Merv__	12
16	hm947	12
18	Slapface522	10
18	TechnoNinja64	10
18	PlasticOtari	10
21	FreakGenius	9
22	Groundler	8
23	EMC_	7
23	rarrq	7
23	SteveCraftBlocks	7
23	thewindmillman	7
27	diamondgolem35	6
28	EveryonesUncle	5
28	HellsSponge	5
30	mihimihimihi	4
30	lordpipe	4
30	UCP_TheKingK	4
33	SmashingPump	3
33	DinoDoctor_	3
33	Mahoose	3
33	Blackberry1310	3
33	Fullut	3
33	Jeteight	3
33	Onennon	3
33	luseis	3
33	SkateboardR6	3
33	Eraxa	3
33	xzvu	3
44	Malorn_Aetherius	2
44	TheSecondLord	2
44	Comma__	2
44	Di_infiri	2
44	Jackattack53	2
44	Chromary	2
44	TheShyPig	2
44	MyNameIsDakar	2
44	lcvezra	2
44	LeEricc	2
44	PortlyPete69	2
44	ConnorDanky_	2
56	Jovaphobic	1
56	squigglybones	1
56	Sabby65	1
56	Killercatty78	1
56	NinjaKnifeKill	1
56	H72l9w	1
56	Cryptacity	1
56	breadbowlgamer	1
56	TakeThis2UrGrave	1
56	HyperCave	1
56	thgrocks	1
56	fkGrim	1
56	fluddd	1
56	Blaiku	1
56	CornOnTheCobalt	1
56	Burge_r	1
56	SvenskaHugo	1
56	AssFullaCum	1
56	obzii	1
56	Njensen7	1
56	Ezekson	1
56	HesDemonPants	1
56	The_SlideV5	1
