rank	username	minecraft:dropped/minecraft:magenta_stained_glass
1	lillips	412
2	Mahoose	278
3	beeperbeeper5	183
4	oxfordschool	160
5	Di_infiri	153
6	PigDab	137
7	eiC_	116
8	Blaiku	108
9	lordpipe	99
10	Swexti	60
11	egglapras	48
12	Sral7	30
13	Blu3beast	22
14	TheSecondLord	17
15	Racengan	16
16	jnp_gaming	15
17	seramalen	14
18	Covalents	12
19	OtariCharlie	10
19	RodSerlingCringe	10
19	UrbanPlanner1978	10
22	eitanzaki	9
22	gcaisawesome	9
22	YungMaki	9
25	Comma__	8
25	noam464	8
25	Werbe	8
25	AssEatrAndLicker	8
25	Hisiste	8
30	Awyrlas	7
31	6king6colt6	6
31	SellyZ	6
33	Historical_Sand	5
33	thescout7	5
33	stahouo	5
33	Dogcorn69420	5
33	TechnoNinja64	5
38	thewindmillman	4
38	Hyp3rion_	4
38	Onennon	4
38	Groundler	4
38	Nagasaki_Riku	4
38	Ezekson	4
44	Lepthymo	3
44	Ailmast	3
44	NameGenerat0r	3
47	PhantomsGhost_	2
47	ShedJr_	2
47	MinttyFressh	2
47	Inchef	2
47	Mewar	2
47	Donutt	2
47	masskedman	2
47	OG_Songsee	2
47	Kowcio_	2
47	kinas45y5	2
57	ExtraDumb	1
57	500am	1
57	Fullut	1
57	mwrty	1
57	ROY4LE	1
57	XboxPanda	1
57	Kakolbus	1
57	gabriels543	1
57	Zythose	1
57	Bumpy419	1
57	Inbefour	1
57	DTwenty	1
57	Frozil12	1
57	fluddd	1
57	TheEnderman548	1
57	SvenskaHugo	1
57	Sheldor097	1
57	MilleGrug	1
57	Hermanni__	1
57	FishisTTV	1
