rank	username	minecraft:dropped/minecraft:tube_coral_block
1	12Magner05	76
2	h2p_emrld	58
3	Maenara	56
4	thewindmillman	49
5	Marbz_	42
6	Blaiku	34
7	Onennon	30
8	Bumpy419	18
8	Skylord_Luke	18
8	AlexxO_o	18
11	Arceus1975	16
12	Faart	12
13	EdGalbraith	11
13	AspenLightVT	11
15	noam464	9
15	CollinMH06	9
17	Blu3beast	8
17	skitzxo	8
19	hm947	7
20	Di_infiri	6
21	RobotMinion101	3
22	Lez_	2
23	myaccountwasgone	1
23	diamondgolem35	1
23	joethahobo	1
23	TheSecondLord	1
23	Blazebit	1
23	Winklepicker279	1
23	Kynigito	1
23	YungMaki	1
23	MilleGrug	1
