rank	username	minecraft:dropped/minecraft:dragon_breath
1	eitanzaki	415
2	TechnoNinja64	182
3	lillips	175
4	ApophisNova	130
4	MyNamaSheff	130
6	Tyrannosplart	128
7	Di_infiri	122
7	Spacewardharpy7	122
7	Skippeh	122
10	noam464	105
11	kekhon	97
12	Fullut	89
13	Blu3beast	73
14	Eraxa	68
15	Snowflowe	64
15	audiocracked	64
17	r123moore	59
18	ECstardust	58
19	joethahobo	40
20	Soplight	37
21	Blackberry1310	17
22	yheece	14
23	Wowful	11
24	luseis	7
24	__tomato	7
26	BlancoFlaco	6
26	rarrq	6
26	Sral7	6
29	xolstoi	5
30	beeperbeeper5	4
30	Saucepeh	4
30	alderban107	4
33	k_ce	3
33	dabloons	3
33	Rasmanden	3
33	fluddd	3
33	skrongus	3
38	PazinGaming	2
38	jimintyy	2
38	TheSecondLord	2
38	Hyp3rion_	2
38	Akoot_	2
38	Manaateee	2
44	_Huge_Male_	1
44	ItsColin11	1
44	ImNotYuqii	1
44	Sleek_Storm_721	1
44	hm947	1
44	Mahoose	1
44	MattieHD	1
44	Smashic	1
44	__TheNorseMan__	1
44	xxPipperDipperxx	1
44	Jackattack53	1
44	HolyVenom	1
44	Maenara	1
44	FreakGenius	1
44	MovingFish7	1
44	Kowcio_	1
44	MineMaster0012	1
44	Ezekson	1
44	Jimb0nat0r	1
44	h2p_emrld	1
