rank	username	minecraft:dropped/minecraft:dark_oak_log
1	Spacewardharpy7	83584
2	thewindmillman	33475
3	Frozil20	11440
4	FreakGenius	5708
5	eitanzaki	4591
6	xzvu	3871
7	TechnoNinja64	3181
8	Werbe	2164
9	Ezekson	1794
10	kekhon	1713
11	rarrq	1624
12	EcksD	1550
13	Euclidoris	1509
14	Racengan	1363
15	ImpavidArcher	1318
16	Smoke____	1107
17	noam464	1059
18	Crowman1	1005
19	Bandito_Roamer	973
20	ThiccExotic	960
21	Di_infiri	957
22	SuperPooch06	934
23	500am	921
24	lillips	902
25	Nicserso	853
26	Mahoose	826
27	Blaiku	807
28	Kowcio_	800
29	MyNameIsJobo	771
30	Rebytre	724
31	Eraxa	698
32	censorsheep	646
33	burbankbuilder28	637
34	EveryonesUncle	597
35	Akoot_	581
36	jnp_gaming	579
37	HellsSponge	578
38	thescout7	576
39	ConnorDanky_	565
40	RoofTyler	563
41	Ecplosive	561
42	Tyrannosplart	552
43	SammiWolfGirl	545
44	Hyperphoenix42	515
45	2Stout	510
46	Uzbeki_John	448
47	Natty	432
48	Huwulling	410
49	joethahobo	403
49	WavyGravy_	403
51	GingerNeutron	394
52	gcaisawesome	393
53	luseis	385
53	El_Jalapeno	385
55	Sleek_Storm_721	384
56	NameGenerat0r	382
57	CollinMH06	369
58	LeEricc	365
59	Lez_	363
60	DarlaMeow	362
61	Merv__	355
62	Quotary	338
63	Kubeusz2010	334
64	Wowful	326
65	I_Am_Mushkin	320
65	AJplaysMC_	320
65	Lord_Doob	320
68	Blackberry1310	302
68	Leyna3	302
70	Soplight	301
71	Lord_Jord	289
71	Steelynan	289
73	RobotMinion101	288
74	NomadicRobin_	286
75	beeperbeeper5	284
76	chlorinex	279
77	Blu3beast	273
78	YungMaki	264
79	Zythose	261
80	Groovy_MoonBird	259
81	Scathra	256
81	_Cloverbelle_	256
83	LeauVox4921	254
84	Yahir091	253
85	Fullut	247
86	Hiryu27	240
87	Mr_Worthless	237
88	MattieHD	234
89	anbbang	232
90	KarlKaek	227
91	Captain_Hardtak	221
92	Ze1ig	215
93	Tobinator_007	211
94	fluddd	210
94	KingMatthew506	210
96	Hermanni__	205
97	MineMaster0012	201
98	eviltunix	194
98	laron58	194
100	Shogunite	193
101	Ardennes	192
101	Joestra	192
101	OfficerAnvil	192
101	HesDemonPants	192
101	h2p_emrld	192
106	xolstoi	188
107	RealGroot	183
108	Notta	178
109	r123moore	172
110	Kynigito	170
111	SvenskaHugo	169
112	AlphaWolfPlaysMC	163
113	Wooptey	160
113	BobDeBouwer1337	160
115	Shiirazu	156
116	DinoDoctor_	155
117	LeDuctTape	153
118	Elastiq	148
119	k_ce	144
119	Mr_Byzantine	144
119	CoffeeNoir	144
122	PazinGaming	142
123	lordpipe	137
124	_Dri_	136
125	CattSoup	135
126	T045RTY	134
126	IamCL4SSY	134
128	Inchef	133
129	ooga47	132
130	PigDab	129
131	livingdaydreams	128
