rank	username	minecraft:dropped/minecraft:jungle_planks
1	thewindmillman	248294
2	Hyp3rion_	33698
3	EcksD	16026
4	Spacewardharpy7	9898
5	noam464	3025
6	himak1	2175
7	_Virify_	1209
8	Blu3beast	841
9	Quaintster	796
10	WET_WET_WET	527
11	EveryonesUncle	514
12	Jackattack53	386
13	eitanzaki	377
14	yheece	293
15	xzvu	246
16	KingEgg1	230
17	Bandito_Roamer	194
18	annebolyn	149
19	beeperbeeper5	147
20	Racengan	137
21	TheWickedBird	133
22	THEKINGLyric10	130
23	SvenskaHugo	128
24	seramalen	124
25	CoffeeNoir	122
26	Akoot_	116
27	fluddd	110
27	Blaiku	110
29	Hetti301	100
30	RobotMinion101	96
31	mwrty	93
32	Mr_Froxy	91
33	Secret_Canary	89
34	Ssor69	88
35	Synthoum	87
36	FreakGenius	83
37	Winklepicker279	81
38	AlexxO_o	79
39	Werbe	77
40	iSammael	74
41	Shortest_Man	71
42	Pumpkin_P_Patch	70
43	joethahobo	69
44	H0UNDFRMH3LL	66
44	yulgur1	66
46	Sleek_Storm_721	64
46	Windo_licker	64
48	Awyrlas	59
49	Yamdalorian	58
50	IWorkAtIkea	57
51	intropass	56
52	Fullbit_	53
53	Bumpy419	51
54	kekhon	48
55	lordpipe	47
56	Blackberry1310	43
57	ConnorDanky_	37
58	Frozil20	33
58	NatrixxddxYT	33
58	Gregward_Smith	33
61	MovingFish7	32
62	Dakar_	30
63	HesDemonPants	29
64	i2f8x4h8ro	28
64	thescout7	28
66	OreTheBear	26
67	Njensen7	25
68	NumbaOneMunch	24
69	Lez_	23
69	RadarHz	23
71	Comma__	22
72	PigDab	21
72	Eraxa	21
74	Jakobo1337	20
74	Steelynan	20
76	Groovy_MoonBird	19
76	SammiWolfGirl	19
78	Touched_Bread	18
78	EdGalbraith	18
78	HellsSponge	18
81	Nach0Bear	17
81	wezzzi	17
81	jnp_gaming	17
84	500am	16
84	Di_infiri	16
84	_Crimson_Legate	16
84	Cocoamallows	16
84	Segotep999	16
89	MightyWertu	15
90	rarrq	14
90	RebytreGT	14
92	Swexti	13
92	Xalithia	13
92	Nicserso	13
95	jessemgaming	12
95	bigstankyy	12
95	ImpavidArcher	12
95	Sleepy_Evelyn	12
95	Fuad_R	12
95	mihimihimihi	12
95	Spenduh	12
95	skitzxo	12
103	Lepthymo	11
103	_Nuf	11
103	Enderxz3	11
106	ZaneABrain	10
106	Leyna3	10
108	teslawolf38	9
108	emreknugrlu	9
108	Tyrannosplart	9
108	StinkyDiplomat	9
108	striker90333	9
113	BPTY4618	8
113	Creativebuilder2	8
113	Hpdinosaur	8
113	Cryptacity	8
113	ROY4LE	8
113	CollinMH06	8
113	Mattesco	8
113	HolyVenom	8
113	The_slideV3	8
113	Skippeh	8
123	ECstardust	7
123	legal_tax_evader	7
123	Kouridragon	7
123	Inbefour	7
123	weabis	7
128	PazinGaming	6
128	SaucyDark	6
128	Mahoose	6
128	Da_Boss_Rani	6
128	akap47	6
128	SteveCraftBlocks	6
128	Uzbeki_John	6
128	epiksk8erduck	6
128	JESS_THE_RERE	6
128	_Karmaa	6
128	Xclax101	6
128	_TCARREIRA_	6
128	KingMatthew506	6
141	Merv__	5
141	Fullut	5
141	Hoid_the_Roamer	5
141	Onennon	5
141	F_Uhre	5
141	Manaateee	5
147	abramgray	4
147	ItsColin11	4
147	TAKrules	4
147	MOSS000	4
147	Tersea_	4
147	TheSecondLord	4
147	Motsaro	4
147	Stiar	4
147	mariominejedi	4
147	Luminad3	4
147	fkGrim	4
147	jambvds	4
147	Lekol	4
147	MAns_44	4
147	GravitySaint	4
147	Aezekial	4
147	Kowcio_	4
147	Soplight	4
165	pintsizedrogue	3
165	jjettii	3
165	Apollo_993	3
165	dimondking777	3
165	_Razaria	3
165	T045RTY	3
165	ShedJr_	3
165	Prodiginus	3
165	aikabot	3
165	type11	3
165	AnnieBathory	3
