rank	username	minecraft:dropped/minecraft:jack_o_lantern
1	eitanzaki	372
2	noam464	98
3	Jackattack53	71
4	Lez_	32
5	oscminus	30
6	_Mythic____	28
7	BumbleBeever	27
8	PhantomsGhost_	22
9	beeperbeeper5	21
10	emreknugrlu	20
11	thewindmillman	18
12	luseis	17
13	Historical_Sand	16
14	mihimihimihi	15
15	EcksD	14
16	Blackberry1310	10
16	Di_infiri	10
16	lordpipe	10
19	myaccountwasgone	8
20	Mahoose	6
20	Jimb0nat0r	6
22	Onennon	5
22	Spacewardharpy7	5
22	Kowcio_	5
22	hermmm_	5
22	PlasticOtari	5
27	PazinGaming	4
27	FreakGenius	4
29	ECstardust	3
29	Swiffin	3
29	Blaiku	3
29	Quotary	3
29	Enderxz3	3
34	heckface	2
34	TheSecondLord	2
34	kekhon	2
34	CrateOfBoxes	2
34	Jonte0599	2
34	Groundler	2
34	Soplight	2
34	2blox_	2
34	Yamdalorian	2
43	Incinere	1
43	Frxnkz	1
43	Windo_licker	1
43	MyNameIsJobo	1
43	Arceus1975	1
43	Hyp3rion_	1
43	thgrocks	1
43	Deodorante	1
43	AspenLightVT	1
43	Lutres_	1
43	Shogunite	1
43	fluddd	1
43	Toriankel	1
43	stavgod	1
43	YungMaki	1
43	Celeste_121	1
43	jnp_gaming	1
43	UrbanPlanningEx	1
43	TechnoNinja64	1
43	Zoeyfortnite	1
