rank	username	minecraft:dropped/minecraft:red_concrete
1	thewindmillman	845
2	Frozil12	300
3	Sky_light_KING	237
4	wTXop	192
5	ElKaySVK	191
6	emrekn	126
7	WET_WET_WET	119
8	lillips	105
9	Uzbeki_John	95
10	Smoke____	94
11	lordpipe	86
12	Spacewardharpy7	85
13	Akoot_	70
14	Eraxa	66
15	LetsDoItLive	64
15	YoshikageBites	64
17	jnp_gaming	60
18	beeperbeeper5	59
19	Soplight	55
20	kinas45y5	51
21	ImpavidArcher	45
22	Blackberry1310	41
23	noam464	33
24	eitanzaki	24
25	kekhon	23
26	GlitchyPlate810	20
27	TechnoNinja64	19
28	rarrq	17
29	Werbe	13
29	AssEatrAndLicker	13
29	El_Jalapeno	13
32	TheTommyGun63	10
33	Blaiku	9
34	Notta	8
34	pixelviolin	8
36	IAmTheWalrus910	7
36	laron58	7
38	ProbablyNick	6
38	MightyWertu	6
38	SSytex_X	6
41	Mahoose	5
41	jushykins	5
41	MrExplorer	5
41	thescout7	5
41	Optiprimus	5
41	aubergined	5
47	Zythose	3
47	gloryoftherain	3
47	OverallConcept	3
47	SkateboardR6	3
51	Paleshield	2
51	Incinere	2
51	Felaxo12	2
51	bbquakes	2
51	ReverendSmith	2
51	Di_infiri	2
51	NameGenerat0r	2
51	Warlord324	2
51	SammiWolfGirl	2
51	oxfordschool	2
51	EcksD	2
62	Merv__	1
62	fr0stss	1
62	SquadMonster	1
62	FirsTimeGamingTV	1
62	MattieHD	1
62	SonicRainBow_	1
62	DarlaMeow	1
62	HellsSponge	1
62	PlzNoBM	1
62	CalebDHawk	1
62	Sheldor097	1
62	Ezekson	1
62	UrbanPlanner1978	1
