rank	username	minecraft:dropped/minecraft:end_rod
1	Hyp3rion_	21771
2	Jackattack53	11507
3	Spacewardharpy7	2306
4	eitanzaki	1953
5	noam464	1101
6	lordpipe	799
7	kekhon	682
8	Blaiku	544
9	beeperbeeper5	453
10	Di_infiri	431
11	FreakGenius	353
12	AdmiralSmoke	258
13	Jimb0nat0r	237
14	Werbe	218
15	Ezekson	191
16	lillips	173
17	ImpavidArcher	167
18	joethahobo	150
19	6king6colt6	135
20	Historical_Sand	131
21	500am	129
22	TheSecondLord	128
23	Lez_	126
24	Frozil20	112
25	Krowuss	106
26	Marbz_	89
27	thescout7	84
28	TechnoNinja64	81
29	titanlax	76
30	StinkyDiplomat	74
31	jnp_gaming	73
32	Eraxa	66
33	Incinere	64
33	hanaryheatwave	64
33	killmeiamtraitor	64
33	Spenduh	64
37	SpacesickPrism	63
38	Fuad_R	58
39	DarlaMeow	53
40	Chromary	51
41	m_be9	39
42	pintsizedrogue	37
43	SmashingPump	36
44	Kowcio_	35
45	Zee_zey	34
46	Zaridey	32
46	NameGenerat0r	32
46	_i_ERROR_i_	32
49	luseis	29
50	Blackberry1310	28
51	YungMaki	27
52	gcaisawesome	25
53	Inchef	24
53	PigDab	24
53	Groundler	24
56	SvenskaHugo	23
57	thewindmillman	21
57	Dogcorn69420	21
57	Sral7	21
60	Mahoose	20
61	EveryonesUncle	19
61	_Mythic____	19
63	Bumpy419	17
63	Blu3beast	17
63	EcksD	17
66	Comma__	15
66	Maenara	15
68	set67	14
69	Xclax101	13
70	Fullut	12
70	seramalen	12
72	yulgur1	11
72	xzvu	11
74	Lepthymo	10
74	Covalents	10
74	yheece	10
74	ItsDeltaMC	10
78	Franco093	9
78	Crowman1	9
78	redikul	9
78	The_slideV3	9
82	seanitoo	8
82	I_Am_Mushkin	8
82	Akoot_	8
82	YungWali	8
82	MustaLoordi	8
87	H0UNDFRMH3LL	7
87	CollinMH06	7
87	Winston_Ingram	7
87	MilleGrug	7
87	UrbanPlanningEx	7
92	ProfessorBee	6
92	__tomato	6
92	Soplight	6
92	KingMatthew506	6
92	vandmanden	6
97	k_ce	5
97	SteveCraftBlocks	5
97	Afinnity	5
97	Manaateee	5
97	fluddd	5
97	skrongus	5
103	PhantomsGhost_	4
103	_Razaria	4
103	Secret_Canary	4
103	Mewar	4
103	OreTheBear	4
103	ApophisNova	4
103	RobotMinion101	4
103	LeGold	4
103	masskedman	4
103	stavgod	4
103	_TCARREIRA_	4
103	PortlyPete69	4
103	CalebDHawk	4
103	Steelynan	4
103	CattSoup	4
103	MyNamaSheff	4
119	hm947	3
119	rarrq	3
119	Auseawesome	3
119	Rich_Kat	3
119	ougstur	3
119	Luminad3	3
119	TheSeismicDuck	3
119	_Bguette_	3
119	the_russell1611	3
119	jcool7	3
119	Iamthejo	3
130	_Huge_Male_	2
130	ECstardust	2
130	T045RTY	2
130	Archsam	2
130	Euclidoris	2
130	pr33tu	2
130	__TheNorseMan__	2
130	Kakolbus	2
130	Arceus1975	2
130	Zythose	2
130	oscminus	2
130	Skylord_Luke	2
130	Inbefour	2
130	Deodorante	2
130	HellsSponge	2
130	_Karmaa	2
130	claivin	2
130	MightyWertu	2
130	Racengan	2
130	MovingFish7	2
130	iSammael	2
130	Burge_r	2
130	Segotep999	2
130	stellarjay	2
130	laron58	2
130	ConnorDanky_	2
130	Nicserso	2
130	FishisTTV	2
130	Wanjibon	2
130	h2p_emrld	2
160	ProbablyNick	1
160	Apollo_993	1
160	dabloons	1
160	Iagoku	1
160	Ryan_GEMS	1
160	SaucyDark	1
160	Gundam_Steven	1
160	BlueishDEV	1
160	Wooptey	1
160	MrKrabOnCoke	1
160	FirsTimeGamingTV	1
160	Smashic	1
160	groggregg42	1
160	Awyrlas	1
160	surfinggiraffejp	1
160	XboxPanda	1
160	Ecplosive	1
160	mariominejedi	1
160	burbankbuilder28	1
160	Donutt	1
160	ooga47	1
160	F_Uhre	1
160	AlexxO_o	1
160	TheShyPig	1
160	FishyBoy3811	1
160	zToasty69z	1
160	Wowful	1
160	audiocracked	1
160	Tyrannosplart	1
160	1442	1
160	C0oOK13M0N5T3R	1
160	Buuck_	1
160	__Auspicious	1
160	Hisiste	1
160	Paigefly	1
160	ConnorTG5	1
160	33sudo	1
160	MineMaster0012	1
160	lcvezra	1
160	Njensen7	1
160	alderban107	1
160	VentiHilton	1
160	MissCeleste7	1
160	Skippeh	1
160	Enderxz3	1
160	PlasticOtari	1
160	Zoeyfortnite	1
