rank	username	minecraft:dropped/minecraft:sand
1	Hyp3rion_	2205427
2	thewindmillman	1133417
3	EcksD	176733
4	Spacewardharpy7	162826
5	Jackattack53	106081
6	noam464	100838
7	Smashic	29533
8	PigDab	21098
9	zToasty69z	18283
10	Iamthejo	15030
11	Segotep999	15017
12	diamondgolem35	14742
13	beeperbeeper5	13953
14	YungMaki	13289
15	Ezekson	11575
16	Fuad_R	11010
17	eitanzaki	10168
18	AstreaTSS	9990
19	TechnoNinja64	9930
20	FreakGenius	9096
21	Enderxz3	9048
22	jnp_gaming	8260
23	Skylord_Luke	7750
24	Ryan_GEMS	7215
25	lillips	6939
26	_Mythic____	6528
27	Onennon	6509
28	Blaiku	6176
29	Drawgirl	6162
30	AdmiralSmoke	6142
31	hanaryheatwave	5586
32	El_Jalapeno	4574
33	Elastiq	4516
34	lordpipe	4447
35	masskedman	4283
36	himak1	4165
37	tuckerdoodle	4121
38	set67	4085
39	Werbe	4028
40	kekhon	3782
41	SkateboardR6	3758
42	_Virify_	3742
43	luseis	3419
44	Nicserso	3199
45	Frozil20	3039
46	NomadicRobin_	2993
47	xzvu	2963
48	Dreamdbr14	2840
49	Racengan	2767
50	joethahobo	2637
51	TheSecondLord	2615
52	LeonelSalamanca	2497
53	SvenskaHugo	2471
54	MilleGrug	2406
55	Groovy_MoonBird	2395
56	skrongus	2337
57	gcaisawesome	2322
58	IamCL4SSY	2243
59	_i_ERROR_i_	2204
60	Blu3beast	2169
61	Historical_Sand	2123
62	Blackberry1310	2104
63	SuperPooch06	2072
64	Arceus1975	2057
65	Skippeh	2047
66	MirielThePastor	2005
67	TheDankPlatypus	1973
68	ImpavidArcher	1967
69	Sheldor097	1920
70	Kowcio_	1898
71	k_ce	1893
72	jedi_george	1870
73	Swexti	1817
74	Groundler	1815
75	UCP_TheKingK	1811
76	Di_infiri	1760
77	mihimihimihi	1754
78	Fullut	1751
79	Snowflowe	1747
80	Lord_Jord	1740
81	Zoeyfortnite	1735
82	Mattesco	1679
83	Iagoku	1583
84	Badenbeele	1576
85	Sral7	1558
86	EveryonesUncle	1551
87	Zythose	1531
88	jcool7	1524
89	__tomato	1518
90	PlzNoBM	1482
91	Spenduh	1373
92	Hahaa_0	1334
93	HellsSponge	1325
94	SpacesickPrism	1315
95	Winklepicker279	1309
96	mwrty	1308
97	Bumpy419	1304
98	xolstoi	1261
99	SellyZ	1257
100	Mobstr	1243
101	ECstardust	1239
102	Mahoose	1231
103	Nicky19	1224
104	ElKaySVK	1223
105	Franco093	1212
106	monky_irl	1187
107	Hiryu27	1164
108	livingdaydreams	1133
108	Powowowow	1133
110	500am	1095
111	NatalieTW	1081
112	paranoid_plant	1067
113	oscminus	1039
114	stevewithclout	1037
114	Tyrannosplart	1037
116	groofles	1025
117	Kazekage	1024
118	YungWali	1021
119	surfinggiraffejp	1008
120	EMC_	1005
121	Auseawesome	994
122	SirPiccardo	960
123	Alteriity	930
124	DontHaveKick	923
125	MovingFish7	915
126	Mewar	907
127	SaphLaseer	905
128	AlexxO_o	873
129	Wowful	859
130	QueenShuvi	857
131	AlphaWolfPlaysMC	850
132	Hermanni__	843
133	12Magner05	838
134	wezzzi	835
135	fw3xy74	833
135	layabout100	833
137	Secret_Canary	815
138	Cavetorch	801
139	Steelynan	791
140	Akoot_	784
141	Maenara	777
142	ApophisNova	776
142	MyNamaSheff	776
144	Dogcorn69420	775
145	Lez_	771
146	gren_ben	760
147	fffMike	757
148	Samificator	753
149	Soplight	734
150	Xclax101	720
151	claivin	718
152	SteveCraftBlocks	713
153	PazinGaming	685
154	Soap_Bender	683
155	XboxPanda	681
155	cichy096	681
157	whoaluv	680
158	Ssor69	667
159	CoffeeNoir	661
160	F_Uhre	659
161	fluddd	652
162	OreTheBear	644
163	PhantomsGhost_	642
164	RebelAndroid	640
165	JasmineGK	635
166	catandmoose	626
167	benediktine1	614
168	Jimb0nat0r	609
169	NameGenerat0r	597
170	OffWithTheirHead	593
171	Bandito_Roamer	591
171	Chromary	591
173	Huic_ostiarius	590
174	StarCookiees_	583
175	eviltunix	566
176	Krowuss	544
177	Huwulling	536
178	The_slideV3	533
179	SaucyDark	526
180	Rumpletaezer	513
181	_Dean_123	510
182	Yahir091	504
183	CuzIm2Kev	493
184	Jovaphobic	483
185	Marbz_	474
186	rarrq	470
187	pintsizedrogue	468
188	bean__salad	466
188	OfficerAnvil	466
190	Fuhrer_Teemo	456
191	kalzor	453
192	DaKaveMan	448
193	Rasmanden	447
193	BlankityMcBlank	447
195	fade_emerge78823	436
196	Pelbo	420
197	Manaateee	418
198	T045RTY	417
199	corvidpartyfor6	416
199	emrekn	416
199	THEKINGLyric10	416
202	prizm_	413
203	SammiWolfGirl	410
204	xxPipperDipperxx	409
205	ConnorDanky_	403
206	Sabby65	401
207	Comma__	399
208	The11thDoctor	398
208	cedric72	398
210	Kim_Jong_eel	391
211	HELLO_I_AM_BEAR	385
212	Kubelz	380
213	Optiprimus	371
214	yheece	369
215	Seyaboy	368
216	KarlKaek	364
217	DebbieBrunswick	362
218	thescout7	357
219	ProfessorDiaper	354
220	Tommhh	353
220	Juh1s	353
222	pr33tu	352
223	obzii	346
224	Kakolbus	339
225	Archsam	337
226	ProbsNotNova	336
227	_TCARREIRA_	333
228	Covalents	328
229	Touched_Bread	326
230	ooga47	320
231	Deodorante	315
232	ZaneABrain	314
233	Typadopoulos	313
233	h2p_emrld	313
235	shineh10	307
235	mattybeewrapss	307
235	ebanana	307
238	FirsTimeGamingTV	306
238	intropass	306
240	Azmodan_246	301
240	seramalen	301
242	SpaceGrenadier	292
243	CliffEmAll	289
243	Druid95	289
245	burbankbuilder28	287
246	I_Am_Mushkin	286
247	sufjanlover	285
248	Kouridragon	283
249	Luminad3	281
249	BumbleBeever	281
251	Nycteus_	280
252	AuroraValkyrie	279
252	jacxhadow	279
252	Leyna3	279
255	Xalithia	275
256	impossibleteapot	274
257	TooManyDuck	273
257	FishyBoy3811	273
257	Quaintster	273
260	RedcatVII	272
261	Karbl	267
262	Tiberonus	266
263	vandmanden	264
264	AltnumberF4	261
265	Truckoss	260
265	LilLizardWizard	260
265	GooseWithin	260
265	FreddyFart	260
269	Killercatty78	258
270	Jorrdi	256
270	Kamflame10	256
272	_Karmaa	255
273	Da_Boss_Rani	254
274	Kura2218	253
274	TheEnderMan548	253
276	AJplaysMC_	249
277	Eczbek	241
278	ProfessorBee	238
279	bigstankyy	236
280	lizardfightclub	229
281	Aatronix	227
282	lotarp	225
282	ITDV	225
284	MattieHD	222
285	2Stout	220
286	GingerNeutron	219
287	alderban107	217
288	Inchef	209
289	Saucepeh	203
289	Kyrum2169	203
291	CLG_Kata	202
292	DarkLawD	197
293	HolyVenom	196
293	SUN_DREAM	196
293	HesDemonPants	196
296	Legendosh	195
297	soundad	194
298	Stynxy	192
298	eposlul	192
298	CrateOfBoxes	192
