rank	username	minecraft:dropped/minecraft:mossy_stone_brick_stairs
1	Akoot_	514
2	Werbe	49
3	kekhon	42
4	Kowcio_	32
5	Comma__	13
6	SuperPooch06	7
7	_witch_craft_	4
7	Inchef	4
9	chipklip	3
10	FreakGenius	2
11	PazinGaming	1
11	EMC_	1
11	beeperbeeper5	1
11	Sleepy_Evelyn	1
11	corvidpartyfor6	1
11	Moofyman	1
11	Maenara	1
11	Fuad_R	1
11	Cyntrical	1
11	Segotep999	1
11	SpacesickPrism	1
11	11Brewer	1
11	TheWickedBird	1
