rank	username	minecraft:dropped/minecraft:melon
1	Hyp3rion_	54270
2	Jackattack53	20223
3	noam464	16442
4	PigDab	12470
5	thewindmillman	9812
6	Jimb0nat0r	9440
7	pixelviolin	9200
8	Blaiku	3763
9	FreakGenius	3327
10	its_lupus	2240
11	diamondgolem35	1848
12	Soplight	1252
13	ZaneABrain	1034
14	eitanzaki	1009
15	IamCL4SSY	705
16	Mahoose	663
17	kekhon	349
18	slkiey	342
19	Merv__	320
20	TheSecondLord	261
21	Inbefour	258
22	diggydog67	252
23	Werbe	214
24	jcool7	192
25	ConnorDanky_	173
26	Rasmanden	172
27	Chromary	164
28	FishisTTV	141
29	Akoot_	136
30	Kakolbus	132
31	lillips	130
32	SwiftyPlayz__	129
33	Kkanot	128
33	MeanTugger	128
33	TechnoNinja64	128
33	Earlesstrain4	128
37	sammidk	120
38	NotMeanttoChange	116
38	luseis	116
40	BoraMC	106
41	Frozil20	101
42	geekbird	96
43	Incinere	93
44	Lord_Jord	88
45	BumbleBeever	85
46	Zoeyfortnite	81
47	xxPipperDipperxx	80
48	Di_infiri	77
48	Snowflowe	77
50	Spacewardharpy7	70
51	Tyrannosplart	68
52	Dan_Scha	66
53	MightyWertu	65
54	jspwn	64
54	Gundam_Steven	64
54	Soul_Atreus	64
54	UrbanPlanningEx	64
58	Secret_Canary	61
59	Smoke____	57
60	calamariclam_I	56
61	Corbsman	53
62	SteveCraftBlocks	50
62	Jiminbub	50
64	BungalowBeet	49
65	Joestra	48
66	Kowcio_	46
67	beeperbeeper5	44
67	NameGenerat0r	44
69	Comma__	42
70	0nly_sn1per	41
71	RadarHz	40
72	RebelAndroid	39
73	Blackberry1310	36
74	PhantomsGhost_	35
74	Hermanni__	35
76	Racengan	32
77	EveryonesUncle	29
78	sp00ky_ghost977	28
79	pintsizedrogue	25
80	SkateboardR6	24
81	The_slideV3	22
81	lordpipe	22
83	KingMatthew506	20
84	ROY4LE	19
84	YungMaki	19
86	ProfessorBee	18
87	I_Am_Mushkin	17
88	NomadicRobin_	16
88	Kekoo	16
88	Ezekson	16
91	Ze1ig	15
91	heckface	15
91	LilyNova	15
91	IAmTheWalrus910	15
91	Aryamanee	15
96	Fullut	13
97	ItsAki_	10
98	funeralhome	9
99	set67	8
99	claivin	8
99	SammiWolfGirl	8
102	Alteriity	7
103	6king6colt6	6
103	_Karmaa	6
103	Steelynan	6
103	_AAZAR	6
107	Hpdinosaur	5
107	Rich_Kat	5
109	BodaciousCake	4
109	PortlyPete69	4
111	Sparky_KT	3
111	thescout7	3
111	Fast_Turtle	3
111	Onennon	3
111	groofles	3
111	_Bguette_	3
111	LeEricc	3
111	JayToe	3
119	_stets	2
119	ImpavidArcher	2
119	ThiccExotic	2
119	epiksk8erduck	2
119	HellsSponge	2
119	ImagineRamen	2
119	RealGroot	2
119	djancak	2
119	ProbsNotNova	2
128	MunkaKris	1
128	dabloons	1
128	q_wq	1
128	Killercatty78	1
128	CoffeeNoir	1
128	H72l9w	1
128	titanlax	1
128	ratglock	1
128	SpicyMeatballs	1
128	shadowthemonkey	1
128	killmeiamtraitor	1
128	Hiryu27	1
128	F_Uhre	1
128	El_Jalapeno	1
128	Sheldor097	1
128	HesDemonPants	1
128	WYFYoyo	1
128	00000000-0000-0000-0009-01fbab7ea71d	1
