rank	username	minecraft:dropped/minecraft:oak_button
1	thewindmillman	1016
2	Hyp3rion_	960
3	500am	290
4	rarrq	134
5	beeperbeeper5	119
6	thescout7	103
7	Yamdalorian	91
8	Mewar	64
9	Segotep999	60
10	Mahoose	49
11	Jackattack53	44
12	mihimihimihi	41
13	Lez_	39
14	burbankbuilder28	38
15	Werbe	37
16	Fuad_R	31
17	eitanzaki	26
18	T045RTY	21
18	benediktine1	21
20	lizardfightclub	19
21	Awyrlas	17
22	Lord_Zacler	16
22	ConnorDanky_	16
22	calamariclam_I	16
25	HellsSponge	13
25	SlinkyPinky	13
27	fragrantmonke444	12
27	Xclax101	12
29	crashomon	10
29	pretty_pink_reno	10
31	seanitoo	9
31	M_Patata	9
33	noam464	8
33	Bumpy419	8
33	MasterNueve	8
36	Archsam	6
36	Blackberry1310	6
36	Di_infiri	6
36	Btabtab	6
36	vandmanden	6
41	joethahobo	5
41	IamCL4SSY	5
41	Tyrannosplart	5
44	Iagoku	4
44	Natty	4
44	PhantomBionic	4
44	Hetti301	4
44	crying_wolf_13	4
44	XboxPanda	4
44	LilLizardWizard	4
44	ogoa	4
44	MAns_44	4
44	BumbleBeever	4
44	__Auspicious	4
44	Soplight	4
44	EcksD	4
57	ratglock	3
57	Rich_Kat	3
57	kekhon	3
57	_Nuf	3
57	gcaisawesome	3
57	kars0n	3
57	luseis	3
57	OrangeJuiceBox	3
57	Cyntrical	3
57	Blaiku	3
57	Kowcio_	3
57	cichy096	3
69	pintsizedrogue	2
69	Sandiotchi	2
69	The_Thund	2
69	Sero277	2
69	abramgray	2
69	ImpavidArcher	2
69	Franco093	2
69	TheFlfthHorseman	2
69	NieToksikpl	2
69	jushykins	2
69	12Magner05	2
69	Zenlou	2
69	MyNameIsJobo	2
69	DaviusMaximoose	2
69	Onennon	2
69	PigDab	2
69	cedric72	2
69	Wowful	2
69	Blamphe	2
69	sufjanlover	2
69	Soap_Bender	2
69	NameGenerat0r	2
69	DanTheBuilderino	2
69	blackeemperor	2
69	Hisiste	2
69	yatsuta	2
69	nonarso	2
69	Ezekson	2
69	diggydog67	2
98	Groovy_MoonBird	1
98	Merv__	1
98	KingFaenor	1
98	Frozil20	1
98	Sleek_Storm_721	1
98	Gemstuff	1
98	livingdaydreams	1
98	No_u4	1
98	CoffeeNoir	1
98	MoistMicrowave	1
98	Swexti	1
98	Da_Boss_Rani	1
98	Ssor69	1
98	ccormacs	1
98	titanlax	1
98	Cryptacity	1
98	TheSecondLord	1
98	Hydro___________	1
98	bloodbiter	1
98	m_be9	1
98	Dnulgreb	1
98	Tiberonus	1
98	SteveCraftBlocks	1
98	MindyDooWho	1
98	r123moore	1
98	zemey	1
98	CharlieButt	1
98	valiSW	1
98	Snowflowe	1
98	Krowuss	1
98	oscminus	1
98	ApophisNova	1
98	RobotMinion101	1
98	HyperCave	1
98	zToasty69z	1
98	Akoot_	1
98	ILoveCarrot	1
98	FreddyFart	1
98	EveryonesUncle	1
98	Syropatathe	1
98	fkGrim	1
98	handsome_strong	1
98	Dakar_	1
98	claivin	1
98	weabis	1
98	QueenShuvi	1
98	El_Jalapeno	1
98	Blu3beast	1
98	Racengan	1
98	Spacewardharpy7	1
98	WyngGoy	1
98	Eraxa	1
98	ReyTheLegend	1
98	Kyrum2169	1
98	BlankityMcBlank	1
98	__tomato	1
98	SSytex_X	1
98	jcool7	1
98	TitanCrafting	1
98	Quotary	1
98	MyNamaSheff	1
98	Enderxz3	1
98	MrMeisterProper	1
98	Zoeyfortnite	1
98	Jordan_R	1
98	h2p_emrld	1
