rank	username	minecraft:dropped/minecraft:red_dye
1	thewindmillman	1082362
2	noam464	47387
3	hanaryheatwave	47256
4	Hyp3rion_	17921
5	Spacewardharpy7	6912
6	excelsionprime	1280
7	ConnorDanky_	669
8	Jackattack53	466
9	Lez_	345
10	Alteriity	338
11	es0th	321
12	MousePlays	320
13	k_ce	310
14	Kowcio_	303
15	SkateboardR6	302
16	IamCL4SSY	213
17	UrbanPlanningEx	207
18	Ezekson	193
19	emrekn	178
20	HellsSponge	174
21	00000000-0000-0000-0009-01ff0c3e5e4f	138
22	BlancoFlaco	131
23	Gus2005	128
23	Nicserso	128
25	MilleGrug	126
26	LuvLuvLove	125
27	NameGenerat0r	124
28	Wolverine4302	123
29	Fuad_R	122
30	emreknugrlu	120
31	TheKingK_	112
32	_Huge_Male_	110
33	Blaiku	108
34	Yamdalorian	105
35	Werbe	100
36	FreakGenius	94
37	Fullut	88
38	Mattesco	87
39	mihimihimihi	84
40	joethahobo	82
41	Frozil20	81
42	Crowman1	70
42	ayamefag	70
44	TheSecondLord	67
44	Blu3beast	67
46	TechnoNinja64	65
46	Jimb0nat0r	65
48	PazinGaming	64
48	Smashic	64
48	gamerlord1324	64
48	Jimi7hits	64
48	camerade	64
48	BumbleBeever	64
48	doublemaki	64
48	imaginek1d	64
56	remmisrat	63
57	_i_ERROR_i_	61
58	Bumpy419	60
59	_stets	57
60	bloodbiter	55
61	PeteO1995	51
62	pintsizedrogue	45
62	NoChumpChange	45
64	XxCookiequeenxX	40
65	beeperbeeper5	37
66	Groovy_MoonBird	36
66	lordpipe	36
68	Bandito_Roamer	33
69	Ecplosive	32
70	EdGalbraith	31
71	MovingFish7	28
72	NumbaOneMunch	27
73	shineh10	24
74	Secret_Canary	23
74	Akoot_	23
76	StarCookiees_	22
77	Mahoose	20
77	500am	20
77	_Duckery	20
80	Zippyzam	18
80	Saucepeh	18
80	RedcatVII	18
80	DairyNickel756	18
84	eitanzaki	16
84	SteveCraftBlocks	16
86	taengoos	15
87	cedric72	14
88	robertsnose	13
89	_Dean_123	12
89	PigDab	12
89	iSammael	12
92	Archsam	10
92	Blackberry1310	10
92	ApophisNova	10
92	MyNamaSheff	10
92	vandmanden	10
97	_Virify_	9
97	Di_infiri	9
99	Onennon	8
99	CalebDHawk	8
101	Batoser	7
101	rarrq	7
101	Eraxa	7
101	starbits140	7
105	royal_2	6
105	ROY4LE	6
105	caesarleon	6
105	Lord_Jord	6
105	ZeaBaron	6
105	MrShojo	6
105	EcksD	6
112	mymayowasgone	5
112	set67	5
112	theonlymagikarp	5
112	Covalents	5
112	Samificator	5
112	Racengan	5
118	BadenStayFly	4
118	BPTY4618	4
118	q_wq	4
118	SaucyDark	4
118	heckface	4
118	Snowflowe	4
118	Cruncy_	4
118	SammiWolfGirl	4
118	_TCARREIRA_	4
118	Kubeusz2010	4
128	12Magner05	3
128	Nach0Bear	3
128	Tyrannosplart	3
128	VentiHilton	3
132	SpartanNamor	2
132	diamondgolem35	2
132	Iagoku	2
132	oreee	2
132	Xalithia	2
132	SellyZ	2
132	BlueZabu	2
132	fr_ser	2
132	Rebytre	2
132	Skylord_Luke	2
132	Luminad3	2
132	Hahaa_0	2
132	SpouHn	2
132	luseis	2
132	_flud	2
132	brofrickcheaters	2
132	xzvu	2
132	miramyu	2
150	hm947	1
150	Wooptey	1
150	ZaneABrain	1
150	Myszoaz	1
150	Mimiir345	1
150	Malorn_Aetherius	1
150	CliffEmAll	1
150	jacxhadow	1
150	Jakobo1337	1
150	corvidpartyfor6	1
150	thescout7	1
150	Inchef	1
150	Diavri	1
150	UncleDanDan	1
150	Rumpletaezer	1
150	goldyx	1
150	parodypatient	1
150	wobn	1
150	handsome_strong	1
150	DarlaMeow	1
150	Dooinfe	1
150	weabis	1
150	Bloo2406	1
150	MS_Pryxx	1
150	layabout100	1
150	Kura2218	1
150	Kyrum2169	1
150	djancak	1
150	stellarjay	1
150	Erased_Identity	1
150	TheBananaKat	1
150	Quotary	1
150	Legendosh	1
150	jnp_gaming	1
