rank	username	minecraft:dropped/minecraft:diorite_wall
1	Hyp3rion_	84
2	eitanzaki	68
3	Kakolbus	60
4	Spacewardharpy7	32
5	SquadMonster	24
6	Soplight	21
7	pintsizedrogue	19
7	FreakGenius	19
9	Guillemet	18
10	SteveCraftBlocks	16
10	NotMeanttoChange	16
12	Frozil20	13
12	Krowuss	13
12	_i_ERROR_i_	13
15	ShedJr_	10
16	Blaiku	9
17	noam464	7
18	Werbe	5
19	luseis	4
20	Mahoose	2
20	Kowcio_	2
22	AuroraValkyrie	1
22	ImpavidArcher	1
22	NieToksikpl	1
22	kekhon	1
22	Lord_Jord	1
22	Groundler	1
22	lordpipe	1
22	MineMaster0012	1
22	CalebDHawk	1
