rank	username	minecraft:dropped/minecraft:iron_door
1	LuvLuvLove	570
2	jnp_gaming	138
3	Tyrannosplart	132
4	noam464	128
5	Yamdalorian	84
6	Blaiku	79
7	eitanzaki	71
8	xxPipperDipperxx	63
9	HellsSponge	50
10	diamondgolem35	45
11	Kowcio_	36
12	12Magner05	33
13	hm947	23
13	Manaateee	23
15	Blu3beast	20
16	thewindmillman	18
16	Hyp3rion_	18
18	lordpipe	17
19	Lez_	16
19	Mr_Froxy	16
21	beeperbeeper5	14
21	Iamthejo	14
23	FreakGenius	13
23	ConnorDanky_	13
25	Jackattack53	12
25	AssFullaCum	12
27	TheSecondLord	10
28	Spacewardharpy7	9
29	kekhon	8
29	domagawha	8
29	doublemaki	8
32	joethahobo	7
32	That_tech_head	7
32	Xclax101	7
32	Enderxz3	7
32	PlasticOtari	7
37	ECstardust	6
37	Luminad3	6
37	_k2x	6
37	AltnumberF4	6
41	royal_2	5
41	_Nuf	5
41	Onennon	5
41	yulgur1	5
41	WyngGoy	5
41	pixelviolin	5
41	cichy096	5
48	Niklas20114552	4
48	Inchef	4
48	Winklepicker279	4
48	Werbe	4
48	EveryonesUncle	4
48	luseis	4
48	_Karmaa	4
48	KingMatthew506	4
48	EcksD	4
57	TildaAndrea	3
57	mymayowasgone	3
57	MrKrabOnCoke	3
57	RobotMinion101	3
57	Buuck_	3
57	mihimihimihi	3
57	Nargotah	3
57	MilleGrug	3
65	RosaDoesMC	2
65	pintsizedrogue	2
65	k_ce	2
65	q_wq	2
65	I_Am_Mushkin	2
65	KarlKaek	2
65	ImpavidArcher	2
65	Archsam	2
65	jushykins	2
65	groggregg42	2
65	VanJosh	2
65	swag_bro2004	2
65	kars0n	2
65	Skylord_Luke	2
65	Kynigito	2
65	AlexxO_o	2
65	Y_A_N_N_I	2
65	Akoot_	2
65	EdGalbraith	2
65	Syropatathe	2
65	wobn	2
65	censorsheep	2
65	Groundler	2
65	MS_Pryxx	2
65	IAmTheWalrus910	2
65	OfficialVatican	2
65	Njensen7	2
65	Ezekson	2
65	DairyNickel756	2
65	Jimb0nat0r	2
95	MuffinManzz	1
95	_Huge_Male_	1
95	PhantomsGhost_	1
95	EMC_	1
95	Frozil20	1
95	Killercatty78	1
95	Hpdinosaur	1
95	Alteriity	1
95	lotarp	1
95	Jackster03	1
95	viziqs	1
95	rarrq	1
95	CaracolCxnt	1
95	Comma__	1
95	Tiberonus	1
95	MattieHD	1
95	Studio4x32	1
95	Secret_Canary	1
95	500am	1
95	Kkanot	1
95	set67	1
95	Awyrlas	1
95	ROY4LE	1
95	imcombxt	1
95	benediktine1	1
95	Zaridey	1
95	craaaash	1
95	Marbz_	1
95	Di_infiri	1
95	burbankbuilder28	1
95	impossibleteapot	1
95	Krowuss	1
95	SlothInASuit	1
95	The11thDoctor	1
95	parodypatient	1
95	Mweems	1
95	Avocadogerms	1
95	ThatMan_Dave	1
95	AssassinAshton	1
95	Factoroni	1
95	stavgod	1
95	Soplight	1
95	Spenduh	1
95	xzvu	1
95	UltraZombie	1
95	Skippeh	1
95	Nicserso	1
95	es0th	1
95	camando92	1
95	00000000-0000-0000-0009-01ff0c3e5e4f	1
