rank	username	minecraft:dropped/minecraft:totem_of_undying
1	Hyp3rion_	2516
2	thewindmillman	1692
3	beeperbeeper5	1078
4	Sral7	689
5	EMC_	344
6	Lez_	327
7	AdmiralSmoke	287
8	Smashic	241
9	Soplight	233
10	noam464	212
11	Fuad_R	205
12	Spacewardharpy7	147
13	lordpipe	139
14	EcksD	94
15	FirsTimeGamingTV	87
16	jnp_gaming	65
17	Segotep999	63
18	pixelviolin	60
19	Werbe	56
19	Lord_Jord	56
21	Da_Boss_Rani	52
22	eitanzaki	39
23	Fullut	32
24	_Mythic____	30
25	kekhon	27
26	dimondking777	19
27	Frozil20	17
28	AlexxO_o	16
29	luseis	14
30	Kowcio_	13
30	YungMaki	13
30	FishisTTV	13
33	T045RTY	12
33	xzvu	12
35	xxPipperDipperxx	11
35	ConnorDanky_	11
37	SoosAmongus	10
38	Apollo_993	9
38	Akoot_	9
38	FreakGenius	9
41	pintsizedrogue	8
42	oreee	7
42	Jackattack53	7
42	Blaiku	7
42	SammiWolfGirl	7
46	Alteriity	6
46	Mahoose	6
46	HellsSponge	6
46	Blu3beast	6
46	Eraxa	6
51	Huwulling	5
51	joethahobo	5
51	rarrq	5
51	TechnoNinja64	5
55	Blackberry1310	4
55	ProfessorBee	4
55	Cambo5000	4
55	Krowuss	4
55	Mattesco	4
55	Manaateee	4
55	_i_ERROR_i_	4
55	FelixPSY375	4
63	Mr_Byzantine	3
63	teslawolf38	3
63	ECstardust	3
63	RebelAndroid	3
63	Vizzoid	3
63	IforgotCS_Source	3
63	IamCL4SSY	3
63	lillips	3
63	Tyrannosplart	3
63	Racengan	3
63	LeeMcGee30	3
63	Nicserso	3
63	Enderxz3	3
63	Legendosh	3
77	k_ce	2
77	CLG_Kata	2
77	SmashingPump	2
77	Merv__	2
77	I_Am_Mushkin	2
77	KarlKaek	2
77	ImpavidArcher	2
77	TheSecondLord	2
77	12Magner05	2
77	Timfinity4	2
77	SteveCraftBlocks	2
77	mwrty	2
77	asspharte	2
77	mimbo1211	2
77	yheece	2
77	CheesyToess	2
77	F_Uhre	2
77	ougstur	2
77	EveryonesUncle	2
77	fluddd	2
77	jcool7	2
77	Hermanni__	2
77	PlasticOtari	2
100	H0UNDFRMH3LL	1
100	Jovaphobic	1
100	Groovy_MoonBird	1
100	_Huge_Male_	1
100	shineh10	1
100	diamondgolem35	1
100	EkkoTraveler	1
100	noobo_	1
100	youhjjhhhjj	1
100	Historical_Sand	1
100	Shadoko_	1
100	Frxnkz	1
100	MinttyFressh	1
100	MattieHD	1
100	lorpus	1
100	Blazebit	1
100	ketaminmann	1
100	emrekn	1
100	Inchef	1
100	surfinggiraffejp	1
100	Ecplosive	1
100	Marbz_	1
100	Di_infiri	1
100	corpsecity	1
100	Snowflowe	1
100	BlitzGG	1
100	pappaberg	1
100	Bumpy419	1
100	oscminus	1
100	Skylord_Luke	1
100	ApophisNova	1
100	Jonte0599	1
100	LeonelSalamanca	1
100	CrumplyBanjo_	1
100	jambvds	1
100	DarlaMeow	1
100	NameGenerat0r	1
100	Avocadogerms	1
100	claivin	1
100	weabis	1
100	SkateboardR6	1
100	WyngGoy	1
100	AnonymousUserr	1
100	Strangemonkey71	1
100	TheEnderMan548	1
100	MineMaster0012	1
100	_TCARREIRA_	1
100	ProbsNotNova	1
100	Eczbek	1
100	Skippeh	1
100	CattSoup	1
100	MyNamaSheff	1
100	Jimb0nat0r	1
100	SamTheDwagon	1
100	JayToe	1
