rank	username	minecraft:dropped/minecraft:netherite_leggings
1	500am	20
2	rarrq	8
3	eitanzaki	7
4	Hyp3rion_	6
4	fred870d	6
4	oxfordschool	6
7	Historical_Sand	5
7	kekhon	5
7	Freak_Genius	5
10	T045RTY	4
10	joethahobo	4
10	Akoot_	4
10	Segotep999	4
14	Nicky_H225	3
14	Rebytre	3
14	Wowful	3
14	lillips	3
14	Frozil12	3
14	Blaiku	3
14	BruhBag	3
14	aywri	3
14	Ezekson	3
14	Enderslayerxz3	3
14	FishisTTV	3
25	Mahoose	2
25	TheSecondLord	2
25	Fullut	2
25	Smashic	2
25	Xalithia	2
25	NomadicRobin_	2
25	SkateboardR6	2
25	Eczbek	2
33	pintsizedrogue	1
33	JohnnyFyes	1
33	_NieToksikpl_	1
33	KarlKaek	1
33	Wolf_Mauler_73	1
33	Dedalus36	1
33	Wooptey	1
33	Upstro10	1
33	Blackberry1310	1
33	Auseawesome	1
33	CyrusIsTired	1
33	set67	1
33	mwrty	1
33	egglapras	1
33	noam464	1
33	M_Patata	1
33	happy_mileo	1
33	thewindmillman	1
33	King_Pancake1	1
33	Skylord_Luke	1
33	ApophisNova	1
33	Mattesco	1
33	PigDab	1
33	xo_Marren_xo	1
33	FishyBoy3811	1
33	PuFY	1
33	ToastedGamingYT	1
33	TJawesome09	1
33	masskedman	1
33	LexMakesHistory	1
33	DarlaMeow	1
33	Quaintster	1
33	Racengan	1
33	lordpipe	1
33	MakeHistory157	1
33	Eraxa	1
33	TheEnderman548	1
33	Kowcio_	1
33	YungMaki	1
33	_Yonk_	1
33	jcool7	1
33	Aryamanee	1
33	cichy096	1
33	MyNamaSheff	1
33	Weepingbiel	1
33	jnp_gaming	1
33	Smoke____	1
33	00000000-0000-0000-0009-01f898304150	1
