rank	username	minecraft:dropped/minecraft:gold_nugget
1	thewindmillman	2394673
2	Hyp3rion_	1537908
3	EcksD	807466
4	noam464	728417
5	mihimihimihi	221708
6	Jackattack53	213932
7	hanaryheatwave	117855
8	Frozil20	95259
9	Blaiku	74732
10	Hisiste	68050
11	ImpavidArcher	34075
12	PhantomsGhost_	22875
13	eitanzaki	16974
14	Spacewardharpy7	13000
15	_Mythic____	10036
16	AdmiralSmoke	7820
17	PigDab	3095
18	lillips	3021
19	Groovy_MoonBird	2787
20	FreakGenius	1753
21	Di_infiri	1664
22	thescout7	1644
23	Spenduh	1587
24	zToasty69z	1554
25	Marbz_	1508
26	joethahobo	1364
27	gcaisawesome	964
28	Smashic	930
29	PazinGaming	879
30	MineMaster0012	863
31	Fullut	852
32	NomadicRobin_	760
33	Cocoamallows	750
34	MovingFish7	728
35	Fuad_R	721
36	Segotep999	615
37	Kowcio_	612
38	beeperbeeper5	597
39	Sleek_Storm_721	593
40	Skylord_Luke	572
41	Vizzoid	520
42	Manaateee	516
42	Strangemonkey71	516
44	Zythose	505
45	_Virify_	498
45	Lez_	498
47	RebelAndroid	478
48	Kyrum2169	477
49	Eraxa	466
50	Lord_Jord	465
51	Ryan_GEMS	448
51	HellsSponge	448
53	DarlaMeow	425
54	DanTheBuilderino	376
55	Huwulling	375
56	Enderxz3	373
57	trexgb	342
58	NinjaKnifeKill	328
59	Legendosh	321
60	lorpus	320
61	Kakolbus	300
62	AltnumberF4	296
63	YungMaki	292
64	kekhon	289
64	LeonelSalamanca	289
66	H0UNDFRMH3LL	271
67	paranoid_plant	241
68	Racengan	239
69	Rebytre	238
70	Mahoose	231
71	hm947	228
72	ganyuganyu	222
73	Groundler	218
74	NameGenerat0r	214
75	Xalithia	212
76	FishisTTV	211
77	whoaluv	203
77	2blox_	203
79	vandmanden	199
80	k_ce	193
80	Razzgriz	193
82	Akoot_	187
83	pintsizedrogue	186
84	Winklepicker279	185
85	luseis	183
86	UltraZombie	179
87	bloodbiter	164
88	SaphLaseer	163
89	Luminad3	158
90	Da_Boss_Rani	154
91	Nicserso	149
92	HolyVenom	146
93	stevewithclout	140
94	SvenskaAlvar	139
95	Merv__	137
96	_i_ERROR_i_	133
97	fw3xy74	129
98	HesDemonPants	123
99	Nycteus_	122
100	MilleGrug	119
101	I_Am_Mushkin	118
101	Arceus1975	118
103	ITDV	117
104	SvenskaHugo	116
105	rarrq	114
105	mwrty	114
105	__tomato	114
108	lizardfightclub	112
109	set67	111
110	TheEnderMan548	110
110	Zoeyfortnite	110
112	Tyrannosplart	106
113	xolstoi	96
114	MightyWertu	91
114	Jimb0nat0r	91
116	Wooptey	89
116	fade_emerge78823	89
118	IdeallyGrey	88
118	MirielThePastor	88
