rank	username	minecraft:dropped/minecraft:terracotta
1	thewindmillman	1039743
2	Jackattack53	8450
3	EcksD	5961
4	Hyp3rion_	5474
5	noam464	4697
6	Spacewardharpy7	2966
7	Frozil20	2672
8	lillips	2562
9	Blaiku	2186
10	eitanzaki	2043
11	YungMaki	1870
12	TheSecondLord	1423
13	PhantomsGhost_	1366
14	Blackberry1310	1180
15	itburb	1148
16	FreakGenius	1058
17	Tyrannosplart	1052
18	MovingFish7	1023
19	TechnoNinja64	976
20	Manaateee	947
21	MilleGrug	928
22	Huwulling	896
23	Blu3beast	804
24	mariominejedi	741
25	TildaAndrea	704
26	MirielThePastor	618
27	Werbe	513
28	Mahoose	450
28	kekhon	450
30	lordpipe	398
31	rarrq	391
32	__tomato	389
33	PazinGaming	320
33	Karbl	320
35	Sral7	306
36	ApophisNova	275
36	MyNamaSheff	275
38	Hermanni__	267
39	The_slideV3	259
39	KingMatthew506	259
41	ConnorDanky_	236
42	DarlaMeow	223
43	CarltheCuck	193
44	pintsizedrogue	192
44	alderban107	192
46	Comma__	184
47	Parcc	179
48	Nicserso	172
49	Rumpletaezer	167
50	mwrty	157
51	Rebytre	155
51	Onennon	155
53	Steelynan	140
54	Natty	136
54	SDMNAEK	136
56	beeperbeeper5	130
56	AdmiralSmoke	130
58	sxc_	128
58	luseis	128
58	ZoomieZoomie	128
58	Earlesstrain4	128
62	TitanCrafting	126
63	__Auspicious	120
64	Ecplosive	118
65	Kakolbus	111
66	Nyxiom_	109
67	the_russell1611	97
68	Skylord_Luke	87
69	Swexti	83
70	fade_emerge78823	74
71	500am	72
72	PigDab	71
73	Crowman1	68
73	Weepingbiel	68
75	Akoot_	66
76	ooga47	65
77	Mr_Byzantine	64
77	dabloons	64
77	Eraza	64
77	Marbz_	64
77	Hoid_the_Roamer	64
77	The11thDoctor	64
77	thgrocks	64
77	handsome_strong	64
77	Fuad_R	64
77	weabis	64
77	SammiWolfGirl	64
88	EveryonesUncle	62
89	groofles	61
90	KarlKaek	60
90	JESS_THE_RERE	60
92	Enderxz3	59
93	Dogbound	55
93	Jakobo1337	55
95	Kowcio_	54
96	ImpavidArcher	51
97	Mattesco	50
98	yheece	49
99	RebelAndroid	48
100	skrongus	47
101	trexgb	42
102	WET_WET_WET	40
103	RedcatVII	39
104	lorpus	38
104	xolstoi	38
106	Di_infiri	36
106	_Karmaa	36
106	Segotep999	36
106	PlasticOtari	36
110	Inchef	34
111	Groundler	33
112	ROY4LE	30
112	gcaisawesome	30
114	djancak	29
115	Killercatty78	26
115	Notta	26
117	marumochis	24
118	NomadicRobin_	23
119	301851	20
120	Jonafrog99	19
120	NNikitas	19
120	Racengan	19
123	_Virify_	18
123	ougstur	18
125	_Huge_Male_	16
125	Arceus1975	16
127	IEatBooty	14
127	set67	14
127	SaintJosie	14
130	CoffeeNoir	13
130	selectrix	13
132	yulgur1	12
133	MakeHistory157	11
134	Alteriity	10
135	Jovaphobic	9
135	TheDankPlatypus	9
135	FreddyFart	9
135	THEKINGLyric10	9
139	SSytex_X	8
140	RatatJuice	7
140	joethahobo	7
140	TheShyPig	7
140	Deerfoot	7
140	PortlyPete69	7
145	SyntheticSurgeon	6
145	Lez_	6
145	Stynxy	6
145	Chromary	6
145	RefluxRatio	6
145	jewbacaman	6
145	Vellu21	6
152	Wooptey	5
152	Inbefour	5
152	Darkgon	5
152	Ze_BaronKrigler	5
156	JohnnyFyes	4
156	6king6colt6	4
156	TooManyDuck	4
156	_Razaria	4
156	ImDisconnected_	4
156	J4k__	4
156	ILoveCarrot	4
156	Wowful	4
156	wobn	4
156	MightyWertu	4
156	mihimihimihi	4
156	Optiprimus	4
156	xzvu	4
156	Legendosh	4
170	tuckerdoodle	3
170	ZaneABrain	3
170	ShedJr_	3
170	Vizzoid	3
170	titanlax	3
170	Shogunite	3
170	MAns_44	3
170	Soul_Atreus	3
178	zqw10k	2
178	ItsColin11	2
178	Merv__	2
178	12Magner05	2
178	Enigma0251	2
178	emrekn	2
178	yaboo88	2
178	oscminus	2
178	Oliver_Frost	2
178	AlexxO_o	2
178	SpouHn	2
178	Dakar_	2
178	Avocadogerms	2
178	claivin	2
178	fluddd	2
178	PixelatedBoss	2
178	Powowowow	2
195	Groovy_MoonBird	1
195	peachfuzz1267	1
195	abramgray	1
195	AgressiveEggdog	1
195	Humpcat	1
195	Digcove	1
195	MattieHD	1
195	ProfessorBee	1
195	Septemb3r	1
195	theonlymagikarp	1
195	XboxPanda	1
195	CranialBlowout	1
195	SvenskaSara	1
195	epiksk8erduck	1
195	AlphaWolfPlaysMC	1
195	TheSeismicDuck	1
195	Kura2218	1
195	stavgod	1
195	Spenduh	1
195	UrbanPlanningEx	1
195	vandmanden	1
