rank	username	minecraft:dropped/minecraft:cactus
1	thewindmillman	127091
2	noam464	7438
3	HellsSponge	4303
4	Hyp3rion_	1608
5	joethahobo	1474
6	YungMaki	929
7	mwrty	878
8	kekhon	731
9	Akoot_	722
10	vandmanden	687
11	eitanzaki	584
12	Di_infiri	574
13	TechnoNinja64	561
14	lordpipe	510
15	Snowflowe	341
16	Blaiku	340
17	beeperbeeper5	282
18	Franco093	263
19	Frozil12	262
20	shockdocta	258
21	Onennon	227
21	audiocracked	227
23	RebelAndroid	210
24	Blackberry1310	204
25	Scathra	192
26	EcksD	165
27	TheSecondLord	154
28	Smoke____	149
29	MSK__	128
29	Jordan_R	128
31	Powowowow	122
32	Dogcorn69420	117
33	Hermanni__	115
34	_Bguette_	105
35	WyngGoy	100
36	Groovy_MoonBird	94
37	Mahoose	91
38	SteveCraftBlocks	86
39	obzii	83
40	jcool7	79
41	Freak_Genius	76
42	Blu3beast	75
43	oxfordschool	73
44	Chromary	72
45	Kakolbus	69
46	Werbe	66
47	Spacewardharpy7	65
47	Njensen7	65
49	mattdaddyhart	64
49	scarletwarrior1	64
51	Inchef	61
52	ChillenChiggen	60
52	Yahir091	60
54	PigDab	59
55	PhantomsGhost_	55
55	SvenskaHugo	55
57	Vizzoid	49
58	FreddyFart	48
59	__tomato	47
60	gcaisawesome	44
61	yulgur1	43
62	jnp_gaming	41
63	Swexti	39
63	Lord_Jord	39
65	MovingFish7	38
65	KG1999	38
67	AuroraValkyrie	36
67	error10101	36
67	thescout7	36
70	Nicserso	35
71	EMC_	33
71	Skippeh	33
73	ROY4LE	31
73	Hoid_the_Roamer	31
75	picardred	30
76	Segotep999	29
76	MilleGrug	29
78	Marbz_	28
79	Iagoku	27
79	Skylord_Luke	27
79	JasmineGK	27
79	CrazyPotater	27
83	lillips	26
83	stahouo	26
83	MeetTheWollo	26
86	SkateboardR6	25
86	Dreamdbr14	25
86	Quotary	25
89	SDMNAEK	24
89	slkiey	24
91	Xclax101	23
91	Ezekson	23
93	brrh	22
94	set67	21
94	Awyrlas	21
94	NomadicRobin_	21
94	Racengan	21
98	MightyWertu	20
99	EveryonesUncle	19
99	Lutres_Torane	19
99	Quaintster	19
102	_Dean_123	18
102	RodSerlingCringe	18
104	pintsizedrogue	17
104	XxSiebzxX	17
106	Euclidoris	16
106	Masssonnn	16
106	Zythose	16
106	Ender_Souls	16
106	Lord_Zacler	16
106	fluddd	16
106	Eraxa	16
113	UncreativeArtist	15
113	SokaOtaku	15
113	fred870d	15
113	MeanTugger	15
113	Nicky19	15
113	monky_irl	15
113	Rainaldus	15
120	6king6colt6	14
120	Optiprimus	14
120	Sral7	14
123	Myszoaz	13
123	Bumpy419	13
123	chipklip	13
123	cog	13
123	UrbanPlanner1978	13
128	Elprone266	12
128	KingFaenor	12
128	12Magner05	12
128	Fullut	12
128	SellyZ	12
128	seramalen	12
128	fw3xywashere	12
128	El_Jalapeno	12
128	KingMatthew506	12
137	Menthas	11
137	m_be9	11
137	ApophisNova	11
137	OverallConcept	11
137	sp00ky_ghost977	11
142	SpaceGrenadier	10
142	301851	10
142	500am	10
142	Mewar	10
142	Jackattack53	10
142	Rumpletaezer	10
142	DTwenty	10
142	MustaLoordi	10
142	Kowcio_	10
142	2blox	10
152	SugarMyNuggets	9
152	Sabby65	9
152	MinttyFressh	9
152	noodlepack	9
152	victorLIE	9
152	AlphaWolfPlaysMC	9
152	mafiKiwi	9
152	Soplight	9
152	Spenduh	9
152	PortlyPete69	9
152	PlzNoBM	9
152	MyNamaSheff	9
164	CoffeeNoir	8
164	oreee	8
164	TheDankPlatypus	8
164	LAVA129	8
164	FishyBoy3811	8
164	Kim_Jong_eel	8
164	SSytex_X	8
164	Steelynan	8
164	anbbang	8
173	Jovaphobic	7
173	_NieToksikpl_	7
173	Gundam_Steven	7
173	jacxhadow	7
173	eviltunix	7
173	duqboy	7
179	Dedalus36	6
179	Simon_Lowell	6
179	SuperPooch06	6
179	burbankbuilder28	6
179	AnnieBathory	6
179	Mattesco	6
179	XxCookiequeenxX	6
179	DarlaMeow	6
179	Nycteus_	6
179	RedcatVII	6
179	Toriankel	6
179	RealDelver	6
179	alderban107	6
179	MissCeleste7	6
179	adiccting01	6
179	EcksDofficial	6
195	shineh10	5
195	Historical_Sand	5
195	IWorkAtIkea	5
195	rarrq	5
195	Comma__	5
195	Covalents	5
195	M_Patata	5
195	lizardfightclub	5
195	fkGrim	5
195	avalan64	5
195	claivin	5
195	lcvezra	5
195	Vellu21	5
195	TheOuterCore	5
209	Mr_Byzantine	4
209	Nicky_H225	4
209	ProfessorBee	4
209	lOlmantschi	4
209	Drewen24	4
209	Gryglu583	4
209	Fuhrer_Teemo	4
209	_Karmaa	4
209	Hisiste	4
209	33sudo	4
209	IdeallyGrey	4
209	Kyrum2169	4
209	ediballbearings	4
209	laron58	4
209	Miko_Fullbuster	4
209	Legendosh	4
225	Ailmast	3
225	q_wq	3
225	bigstankyy	3
225	Wooptey	3
225	ZaneABrain	3
225	lotarp	3
225	FirsTimeGamingTV	3
225	Notta	3
225	jiggywraps	3
225	bloodbiter	3
225	Rich_Kat	3
225	NotTrixi	3
225	xxPipperDipperxx	3
225	fr_ser	3
225	Rocco_Lane	3
225	LilyNova	3
225	epiksk8erduck	3
225	Factoroni	3
225	radioactv_jelly	3
225	Strangemonkey71	3
225	TheEnderman548	3
225	ProbsNotNova	3
225	mawileite	3
225	FelixPSY375	3
225	Enderslayerxz3	3
225	Zoeyfortnite	3
251	Astronicky	2
251	diminub	2
251	Sleek_Storm_721	2
251	tuckerdoodle	2
251	PhantomBionic	2
251	uhm__okay	2
251	Valoth	2
251	Kamflame10	2
251	emrekn	2
251	__Fanda__	2
251	BronkerBrum	2
251	The11thDoctor	2
251	Kouridragon	2
251	HyperCave	2
251	brickman241	2
251	TheShyPig	2
251	Maenara	2
251	ADEXTV	2
251	masskedman	2
251	Inbefour	2
251	Karbl	2
251	NameGenerat0r	2
251	QueenShuvi	2
251	SwooshBoi	2
251	stellarjay	2
251	Poppy235	2
251	Drawgirll	2
251	LeeMcGee30	2
251	cichy096	2
251	FGamerJ	2
251	WYFYoyo	2
251	MelodyGaysharks	2
283	Gary_	1
283	ItsColin11	1
283	I_Am_Mushkin	1
283	diamondgolem35	1
283	ImpavidArcher	1
283	TooManyDuck	1
283	Flores991	1
283	H72l9w	1
283	Howertt	1
283	Ssor69	1
283	Ozixar	1
283	titanlax	1
283	jushykins	1
283	lordsaladito	1
283	xBaltaci	1
283	Ristebraaten	1
283	gabriels543	1
283	WET_WET_WET	1
