rank	username	minecraft:dropped/minecraft:note_block
1	Hyp3rion_	17722
2	noam464	12193
3	Jackattack53	4436
4	thewindmillman	1183
5	Spacewardharpy7	809
6	eitanzaki	255
7	skitzxo	187
8	EcksD	133
9	500am	129
10	kekhon	113
11	Di_infiri	93
12	Blaiku	83
13	Mahoose	73
14	PazinGaming	64
15	Eczbek	63
16	PigDab	56
17	SteveCraftBlocks	44
18	Aiko_Kawashima	42
19	YungMaki	28
20	EMC_	25
21	emreknugrlu	20
22	mihimihimihi	16
23	AuroraValkyrie	12
23	Tyrannosplart	12
25	Yamdalorian	11
26	MyNameIsJobo	9
26	Werbe	9
26	Manaateee	9
29	Lez_	8
30	Quaintster	7
30	jnp_gaming	7
30	annebolyn	7
33	TechnoNinja64	6
34	beeperbeeper5	5
34	Kowcio_	5
36	Merv__	4
36	myaccountwasgone	4
36	Archsam	4
36	skroobiez	4
36	Crowman1	4
36	lordpipe	4
42	ese_wn_po	3
42	StarCookiees_	3
42	SpacesickPrism	3
42	CattSoup	3
46	pintsizedrogue	2
46	ECstardust	2
46	ImpavidArcher	2
46	Rich_Kat	2
46	Smashic	2
46	gamerlord1324	2
46	Arceus1975	2
46	EdGalbraith	2
46	YungWali	2
46	jcool7	2
46	cichy096	2
57	Alteriity	1
57	Euclidoris	1
57	Blackberry1310	1
57	MattieHD	1
57	_Nuf	1
57	Austine6698	1
57	Fullut	1
57	Awyrlas	1
57	BlueZabu	1
57	SlayerCrypto	1
57	U_Mos_	1
57	Bumpy419	1
57	cedric72	1
57	PaperCanvas	1
57	EveryonesUncle	1
57	luseis	1
57	HellsSponge	1
57	FreakGenius	1
57	Gus2005	1
57	Racengan	1
57	QuesoCrusaderIII	1
57	VilsSwag	1
57	__Auspicious	1
57	Hisiste	1
57	OG_Songsee	1
57	ayamefag	1
57	pixelviolin	1
57	Kijiki	1
57	Segotep999	1
57	_i_ERROR_i_	1
57	ProbsNotNova	1
57	Nicserso	1
57	Enderxz3	1
57	Zoeyfortnite	1
