rank	username	minecraft:dropped/minecraft:stripped_acacia_log
1	StarCookiees_	193
2	EcksD	129
3	Jimb0nat0r	57
4	Segotep999	52
5	eiC_	29
6	beeperbeeper5	10
7	Mahoose	7
8	Lez_	6
8	BlueZabu	6
10	ThePoliteG	3
11	k_ce	2
11	Franco093	2
11	pappaberg	2
11	ApophisNova	2
11	Werbe	2
11	MrShojo	2
11	Steelynan	2
11	MyNamaSheff	2
11	Yamdalorian	2
20	dudcreeper	1
20	PazinGaming	1
20	eitanzaki	1
20	kekhon	1
20	SteveCraftBlocks	1
20	gcaisawesome	1
20	noam464	1
20	Doom_melon	1
20	kars0n	1
20	Hiryu27	1
20	TheShyPig	1
20	Leyna3	1
20	fkGrim	1
20	Meatlaugh	1
20	MAns_44	1
20	lordpipe	1
20	IAmTheWalrus910	1
20	Spenduh	1
20	Vellu21	1
20	Enderxz3	1
20	Powowowow	1
