rank	username	minecraft:dropped/minecraft:end_stone_brick_slab
1	mwrty	3468
2	WET_WET_WET	409
3	mihimihimihi	343
4	IamCL4SSY	283
5	PigDab	182
6	Blu3beast	84
6	Spacewardharpy7	84
8	jcool7	79
9	ECstardust	77
10	thewindmillman	74
11	Arceus1975	47
12	EcksD	27
13	eitanzaki	25
13	Jackattack53	25
15	NomadicRobin_	23
16	Segotep999	21
17	fkGrim	15
18	elicobnoah	14
19	TheShyPig	10
20	Blaiku	5
20	Ezekson	5
22	TheEnderMan548	4
22	Kowcio_	4
22	Steelynan	4
25	SaphLaseer	3
25	RIPB0ZO	3
27	JohnnyFyes	2
27	ITDV	2
27	HesDemonPants	2
30	Sleek_Storm_721	1
30	Mahoose	1
30	xxPipperDipperxx	1
30	noam464	1
30	F_Uhre	1
30	Wowful	1
30	501g	1
30	Racengan	1
30	SkateboardR6	1
30	Winston_Ingram	1
