rank	username	minecraft:dropped/minecraft:grass
1	kekhon	551
2	EveryonesUncle	231
3	Akoot_	230
4	TechnoNinja64	197
5	T045RTY	167
6	Arceus1975	159
7	Freak_Genius	145
8	fred870d	136
9	hm947	99
9	MOSS000	99
11	Soap_Bender	96
12	SammiWolfGirl	94
13	mwrty	87
14	Zoeyfortnite	83
15	peachfuzz1267	80
16	thewindmillman	67
17	AltnumberF4	66
18	DarkLawD	64
18	CalebDHawk	64
20	rarrq	59
20	Auseawesome	59
22	kinas45y5	56
23	Groovy_MoonBird	45
24	Fullut	42
25	beeperbeeper5	41
26	Blackberry1310	37
27	pintsizedrogue	36
28	123louis456	33
28	chipklip	33
30	H72l9w	27
30	Xclax101	27
32	eitanzaki	26
33	Blu3beast	25
34	HolyVenom	23
34	Factoroni	23
36	_KuruKuru	22
37	Historical_Sand	21
38	CoffeeNoir	19
39	_Dean_123	18
39	WET_WET_WET	18
41	Chromary	15
41	stahouo	15
41	obzii	15
41	Njensen7	15
45	ApophisNova	14
45	MyNamaSheff	14
45	Sral7	14
48	_Karmaa	13
48	NameGenerat0r	13
50	ImpavidArcher	12
50	MovingFish7	12
50	lordpipe	12
53	TheSecondLord	11
53	Kkanot	11
53	Racengan	11
56	ShedJr_	10
56	_Bguette_	10
56	Frozil12	10
59	diamondgolem35	9
59	Euclidoris	9
59	500am	9
59	Jonte0599	9
59	layabout100	9
59	Legendosh	9
65	dabloons	8
65	The11thDoctor	8
65	fkGrim	8
65	Nagasaki_Riku	8
65	SvenskaHugo	8
70	fr0stss	7
70	Swexti	7
70	Kakolbus	7
70	PeteO1995	7
70	ese_wn_po	7
70	Smoke____	7
76	BronkerBrum	6
76	dezxalo	6
76	HellsSponge	6
76	Optiprimus	6
76	Soplight	6
76	sebastiensaborio	6
82	heckface	5
82	Stynxy	5
82	Di_infiri	5
82	Hyp3rion_	5
82	Snowflowe	5
82	YahooScreen9000	5
82	wezzzi	5
82	KlausVonStiglitz	5
82	Eraxa	5
82	Kowcio_	5
82	YungMaki	5
93	Argraol	4
93	Merv__	4
93	EMC_	4
93	SaucyDark	4
93	set67	4
93	ayqq	4
93	noam464	4
93	Winklepicker279	4
93	fkndweeb	4
93	Nicserso	4
93	Fire_beast	4
104	FroggoTheDoggo	3
104	rachcl	3
104	titanlax	3
104	ROY4LE	3
104	ItzYaBoiPicard	3
104	Skylord_Luke	3
104	avalan64	3
104	claivin	3
104	El_Jalapeno	3
104	Groundler	3
104	SSytex_X	3
104	KingMatthew506	3
104	Hermanni__	3
104	anbbang	3
118	Cowison	2
118	strongman951753	2
118	soundad	2
118	KarlKaek	2
118	bigstankyy	2
118	EkkoTraveler	2
118	Natty	2
118	joethahobo	2
118	Unitas_isa	2
118	TheDankPlatypus	2
118	swag_bro2004	2
118	impossibleteapot	2
118	The_Fulgurator	2
118	Bumpy419	2
118	seramalen	2
118	PuFY	2
118	Dabatha	2
118	Toowny	2
118	Meatlaugh	2
118	comjosh64	2
118	Quaintster	2
118	Ashton1242	2
118	IAmTheWalrus910	2
118	lcvezra	2
118	Luigipunch989	2
118	Sheldor097	2
118	Skippeh	2
118	FGamerJ	2
146	heysushii	1
146	ewsophie	1
146	IWorkAtIkea	1
146	ManlyAdjective	1
146	Notta	1
146	ratglock	1
146	jushykins	1
146	Nicky_H225	1
146	MattieHD	1
146	SteveCraftBlocks	1
146	Kamflame10	1
146	Scathra	1
146	Nach0Bear	1
146	thescout7	1
146	Motsaro	1
146	gabriels543	1
146	killmeiamtraitor	1
146	Onennon	1
146	PigDab	1
146	Zielo2017PL	1
146	Shavrin	1
146	fxiryglitch	1
146	SvenskaAlvar	1
146	RodSerlingCringe	1
146	ogoa	1
146	TheSeismicDuck	1
146	audiocracked	1
146	Inbefour	1
146	_Hayt	1
146	master9067	1
146	Shogunite	1
146	BigCronkin	1
146	QueenShuvi	1
146	Nycteus_	1
146	Blaiku	1
146	DeGodz4life	1
146	Spacewardharpy7	1
146	monky_irl	1
146	Dusk_95	1
146	_Ruzeeq_	1
146	Mistruth	1
146	WyngGoy	1
146	ProbsNotNova	1
146	DennyKai	1
146	Ezekson	1
146	adiccting01	1
146	vandmanden	1
146	YoshikageBites	1
