rank	username	minecraft:dropped/minecraft:fletching_table
1	lillips	64
2	EcksD	48
3	eitanzaki	23
4	_Virify_	4
4	noam464	4
4	PigDab	4
4	FreakGenius	4
4	Racengan	4
9	SmashingPump	2
9	Blaiku	2
9	2blox_	2
12	NatalieTW	1
12	Wooptey	1
12	Alteriity	1
12	beeperbeeper5	1
12	Fast_Turtle	1
12	Mattesco	1
