rank	username	minecraft:dropped/minecraft:green_concrete
1	thewindmillman	652
2	HellsSponge	247
3	lordpipe	113
4	beeperbeeper5	71
5	Tyrannosplart	64
5	ConnorDanky_	64
7	Chromary	63
8	Alteriity	57
9	binman420	56
10	PigDab	29
11	Spacewardharpy7	24
12	Kowcio_	17
13	Groovy_MoonBird	15
14	Nicserso	14
15	Soplight	11
15	PortlyPete69	11
17	noam464	9
18	ProfessorBee	8
19	WET_WET_WET	7
19	luseis	7
21	Auseawesome	6
21	iSammael	6
23	Mahoose	5
24	YungMaki	3
25	_Dean_123	2
26	Humpcat	1
26	Hyp3rion_	1
26	_Bguette_	1
26	_TCARREIRA_	1
