rank	username	minecraft:dropped/minecraft:music_disc_11
1	HellsSponge	204
2	AspenLightVT	18
3	pintsizedrogue	12
4	surfinggiraffejp	10
5	ApophisNova	9
5	MyNamaSheff	9
5	TechnoNinja64	9
8	eitanzaki	5
8	kekhon	5
8	Betarchitect	5
8	yulgur1	5
12	Akoot_	4
12	Tyrannosplart	4
14	ItsColin11	3
14	gren_ben	3
14	heckface	3
14	Blu3beast	3
14	miramyu	3
19	PhantomsGhost_	2
19	ImpavidArcher	2
19	Literally_Rat	2
19	Blackberry1310	2
19	Studio4x32	2
19	Hyp3rion_	2
19	luseis	2
19	Deodorante	2
19	Kowcio_	2
19	es0th	2
19	Spaghettatron	2
30	BPTY4618	1
30	Frozil20	1
30	Furiuosbeast0404	1
30	rarrq	1
30	LoboTheLobster	1
30	Tersea_	1
30	500am	1
30	Inchef	1
30	craaaash	1
30	_Duckery	1
30	Skylord_Luke	1
30	MinerDec	1
30	thgrocks	1
30	_flud	1
30	TheBananaKat	1
30	jnp_gaming	1
30	camando92	1
