rank	username	minecraft:dropped/minecraft:dried_kelp
1	Hyp3rion_	97254
2	thewindmillman	52850
3	non089	3867
4	EcksD	1185
5	bigstankyy	587
6	skrongus	400
7	Houstonion	384
8	Groovy_MoonBird	315
9	AdmiralSmoke	250
10	kekhon	240
11	Blackberry1310	217
12	Lez_	144
13	Forcolp	143
14	xzvu	123
15	rarrq	111
16	H72l9w	108
17	Nicserso	106
18	ConnorDanky_	105
19	MightyWertu	85
20	gren_ben	82
21	Fuhrer_Teemo	80
22	Moetis	75
23	thescout7	73
24	TheSecondLord	72
25	FreakGenius	70
26	Frozil20	66
27	SlayerCrypto	64
27	Jackattack53	64
27	shockdocta	64
27	oscminus	64
27	claivin	64
27	Drawgirl	64
33	Di_infiri	62
34	Zoeyfortnite	59
35	Kamflame10	55
36	TheSeismicDuck	49
36	Spacewardharpy7	49
38	JETrotter	46
39	MattieHD	39
40	EveryonesUncle	38
41	Comma__	36
42	Skippeh	35
43	eitanzaki	28
43	Hamsanders	28
43	eviltunix	28
43	Alfman007	28
43	jnp_gaming	28
48	Fullut	27
49	07shiny	25
50	sandmire	22
51	SuperPooch06	20
51	Leithz6	20
53	ImpavidArcher	19
54	beeperbeeper5	18
54	djancak	18
56	Optiprimus	17
57	lordpipe	16
57	Eraxa	16
57	_TCARREIRA_	16
60	Zythose	14
61	KingMatthew506	13
62	Steelynan	12
63	Mahoose	11
64	ooga47	10
64	IdeallyGrey	10
64	PlasticOtari	10
67	popcanter	8
67	CalebDHawk	8
67	little_dUki	8
70	SoosAmongus	7
70	ShedJr_	7
70	joethahobo	7
70	OLookItsAnxiety	7
70	Blu3beast	7
75	Touched_Bread	6
75	AlexxO_o	6
75	Nicky19	6
75	Tyrannosplart	6
75	Manaateee	6
75	E775	6
75	419mmurphy	6
75	jcool7	6
83	pintsizedrogue	5
83	Froste131	5
83	MoistMicrowave	5
83	Snowflowe	5
83	vandmanden	5
88	AuroraValkyrie	4
88	KarlKaek	4
88	Iagoku	4
88	Auseawesome	4
88	MustaLoordi	4
93	openatheclose	3
93	ProfessorBee	3
93	_Dean_123	3
93	censorsheep	3
93	Xclax101	3
93	Warlord324	3
93	Kowcio_	3
100	500am	2
100	excelsionprime	2
100	himak1	2
100	Skylord_Luke	2
100	Corbsman	2
100	Jimi7hits	2
100	El_Jalapeno	2
100	MS_Pryxx	2
100	Soplight	2
109	Elprone266	1
109	PhantomsGhost_	1
109	BPTY4618	1
109	ECstardust	1
109	ExtraDumb	1
109	Incinere	1
109	lunathelemon	1
109	slkiey	1
109	TheSansMan	1
109	TakeThis2UrGrave	1
109	iTurbo	1
109	TheShyPig	1
109	fkGrim	1
109	luseis	1
109	Fuad_R	1
109	splatterhawk	1
109	Blaiku	1
109	robotemo	1
109	YungMaki	1
109	Kiki_Majiki	1
109	Jimb0nat0r	1
