rank	username	minecraft:dropped/minecraft:yellow_wool
1	noam464	90516
2	thewindmillman	55487
3	EcksD	28382
4	ConnorDanky_	8120
5	Hyp3rion_	3322
6	HellsSponge	3014
7	beeperbeeper5	2976
8	PhantomsGhost_	1728
9	FreakGenius	1480
10	Jackattack53	1188
11	eitanzaki	1030
12	Alteriity	811
13	Frozil20	511
14	Kowcio_	440
15	Blaiku	408
16	Blu3beast	387
17	Jimb0nat0r	346
18	mariominejedi	320
19	luseis	313
20	Spaghettatron	304
21	Werbe	288
22	PigDab	213
23	AlexxO_o	206
24	_witch_craft_	200
25	xxPipperDipperxx	196
26	Xclax101	181
27	EdGalbraith	180
28	Lez_	177
29	Legendosh	159
30	TechnoNinja64	144
31	PazinGaming	131
32	IlkeCookes_	129
33	gamerlord1324	128
33	Segotep999	128
35	Spenduh	126
36	TheSecondLord	104
37	lordpipe	84
38	_Huge_Male_	82
39	Di_infiri	81
40	knarian	79
41	Rumpletaezer	77
42	theonlymagikarp	71
43	SteveCraftBlocks	69
44	ImpavidArcher	64
44	Hoid_the_Roamer	64
44	Maenara	64
44	Shogunite	64
48	k_ce	63
49	LagVibes	59
50	Sheldor097	51
51	BadenOnGod	44
52	SkateboardR6	38
53	Soplight	33
54	2Stout	32
55	Merv__	30
56	Blackberry1310	28
56	EveryonesUncle	28
58	blackeemperor	26
59	pintsizedrogue	25
59	emreknugrlu	25
59	Quaintster	25
62	Mahoose	22
63	TheKingK_	16
64	seanitoo	13
65	OfficerAnvil	12
66	Spacewardharpy7	11
66	Jij0	11
68	NomadicRobin_	10
69	joethahobo	9
69	_Mythic____	9
71	Archsam	8
71	Sleepy_Evelyn	8
71	Fullut	8
71	Manaateee	8
75	rarrq	6
75	IamCL4SSY	6
75	weabis	6
78	Wooptey	5
78	Huwulling	5
78	prizm_	5
78	doublemaki	5
82	stavgod	4
83	j5ylim	3
83	ShedJr_	3
83	500am	3
83	U_Mos_	3
83	Onennon	3
83	NameGenerat0r	3
83	Eraxa	3
83	AssFullaCum	3
83	hermmm_	3
83	jnp_gaming	3
93	SquadMonster	2
93	kekhon	2
93	intropass	2
93	whoaluv	2
93	Arceus1975	2
93	Snowflowe	2
93	oscminus	2
93	Skomo	2
93	Akoot_	2
93	OverallConcept	2
93	claivin	2
93	SvenskaHugo	2
93	SammiWolfGirl	2
93	PortlyPete69	2
93	Kubeusz2010	2
93	HesDemonPants	2
93	Yamdalorian	2
110	Froste131	1
110	Niklas20114552	1
110	EMC_	1
110	RebelAndroid	1
110	royal_2	1
110	heckface	1
110	Ozixar	1
110	MrExplorer	1
110	wiqor	1
110	bbquakes	1
110	mwrty	1
110	Tjhodskins19	1
110	ROY4LE	1
110	bl1ss0	1
110	craaaash	1
110	__Fanda__	1
110	Mattesco	1
110	TheShyPig	1
110	Lord_Jord	1
110	420BreadLizard	1
110	Buuck_	1
110	Kura2218	1
110	TheEnderMan548	1
110	djancak	1
110	laron58	1
110	Skippeh	1
110	taengoos	1
110	Ezekson	1
110	Quotary	1
110	es0th	1
