rank	username	minecraft:dropped/minecraft:glowstone
1	thewindmillman	799774
2	Hyp3rion_	760093
3	noam464	31488
4	EcksD	30927
5	Spacewardharpy7	5419
6	Werbe	3368
7	Blaiku	2523
8	H0UNDFRMH3LL	1688
9	eitanzaki	1104
10	TechnoNinja64	1016
11	Fullut	795
12	Frozil20	723
13	beeperbeeper5	663
14	Lez_	519
15	doublemaki	388
16	PazinGaming	320
17	Blackberry1310	285
18	joethahobo	279
19	Enderxz3	272
20	pintsizedrogue	248
21	rarrq	239
22	Alteriity	230
23	Akoot_	224
24	NameGenerat0r	205
25	NomadicRobin_	202
26	lordpipe	199
27	U_Mos_	193
28	TooManyDuck	192
29	Jackattack53	190
30	Blu3beast	179
30	Yamdalorian	179
32	Kowcio_	177
33	Sral7	163
34	PlasticOtari	160
35	knarian	151
36	HellsSponge	150
37	FreakGenius	143
38	k_ce	141
39	Fuad_R	140
40	kekhon	138
41	ScootOfBoot	128
41	Kouridragon	128
41	blackeemperor	128
44	Mattesco	125
45	Krowuss	120
46	MakeHistory157	111
47	ConnorDanky_	107
48	Di_infiri	105
49	eiC_	96
50	XboxPanda	90
51	GravitySaint	89
52	King_Pancake1	85
53	Skippeh	84
54	Kakolbus	82
55	diamondgolem35	80
55	Segotep999	80
57	PigDab	77
58	CalebDHawk	76
59	thescout7	74
60	SellyZ	72
61	Donutt	70
62	Rani_R	67
62	Pumpkin_P_Patch	67
64	MattieHD	66
64	groofles	66
66	skroobiez	65
66	ProbsNotNova	65
68	PhantomsGhost_	64
68	lpinfinity	64
68	EveryonesUncle	64
68	Xclax101	64
68	IlkeCookes_	64
68	Powowowow	64
74	Tobinator_007	61
74	F_Uhre	61
76	pixelviolin	60
77	Chromary	58
77	Zythose	58
79	oscminus	57
79	claivin	57
79	TheKingK_	57
82	mihimihimihi	51
83	censorsheep	50
84	RatatJuice	46
85	vandmanden	45
86	TwinTowerV2	44
87	TheEnderMan548	43
88	Maenara	40
89	MyMawgDonaldsGon	39
90	Bandito_Roamer	36
90	bra1nbrain	36
90	m9_meltdown_	36
93	TheWickedBird	33
94	hanaryheatwave	32
94	THEKINGLyric10	32
94	Razzgriz	32
97	AJplaysMC_	30
97	Steelynan	30
99	Caribouse	29
100	WET_WET_WET	28
100	PortlyPete69	28
102	_i_ERROR_i_	27
103	Skylord_Luke	26
103	Dogcorn69420	26
105	heysushii	25
105	El_Jalapeno	25
105	bobbydoodledot	25
108	StinkyDiplomat	23
109	Secret_Canary	22
110	set67	21
110	SammiWolfGirl	21
112	GildedRemnant	20
113	Queen_Jalapeno	19
113	JETrotter	19
113	NumbaOneMunch	19
116	jacxhadow	17
117	Mahoose	16
117	fallingemma	16
117	ImDisconnected_	16
117	RobotMinion101	16
121	Merv__	15
121	Cryptacity	15
121	Racengan	15
121	miramyu	15
125	TheSecondLord	14
126	Awyrlas	13
126	Ezekson	13
128	500am	12
128	mwrty	12
128	gamerlord1324	12
128	DarlaMeow	12
132	Froste131	11
132	Tyrannosplart	11
132	obzii	11
135	bloodbiter	10
135	Solar_Power	10
135	Huic_ostiarius	10
135	DairyNickel756	10
135	GradedCookie	10
135	Spaghettatron	10
141	Leyna3	9
141	camerade	9
143	robertsnose	8
144	Doom_melon	7
144	EfficientC52	7
146	Karbl	6
146	_Karmaa	6
146	SpacesickPrism	6
146	Nicserso	6
150	Lukeee33	5
150	The_SlideV5	5
152	hm947	4
152	Euclidoris	4
152	_Dean_123	4
152	emrekn	4
152	lizardfightclub	4
152	cutelilreno	4
152	non089	4
159	12Magner05	3
159	Inchef	3
159	Snowflowe	3
159	DarkLawD	3
159	Kyrum2169	3
159	KingMatthew506	3
159	diggydog67	3
166	Groovy_MoonBird	2
166	ECstardust	2
166	ImpavidArcher	2
166	Incinere	2
166	RebelAndroid	2
166	MSK__	2
166	HotCocoJoe	2
166	royal_2	2
166	MinttyFressh	2
166	ROY4LE	2
166	craaaash	2
166	Arceus1975	2
166	DeeDeeThonk	2
166	Skwillyum13	2
166	Inbefour	2
166	luseis	2
166	Vorlice	2
166	CacheOut	2
166	jnp_gaming	2
166	es0th	2
186	Houstonion	1
186	livingdaydreams	1
186	T045RTY	1
186	Dark_Crusader21	1
186	HUNTERmaun	1
186	Stynxy	1
186	TheThomas69	1
186	SteveCraftBlocks	1
186	Masssonnn	1
186	NotKaden_	1
186	bl1ss0	1
186	CollinMH06	1
186	Bumpy419	1
186	Onennon	1
186	HolyVenom	1
186	Elastiq	1
186	_flud	1
186	Buuck_	1
186	ConnorTG5	1
186	iSammael	1
186	Synthoum	1
186	FiguraDei	1
186	Strangemonkey71	1
186	jcool7	1
186	Jimb0nat0r	1
