rank	username	minecraft:dropped/minecraft:pumpkin_pie
1	TechnoNinja64	79155
2	TheShyPig	4982
3	kekhon	2540
4	Isaac70096	2412
5	AspenLightVT	2390
6	Frozil20	2385
7	Kura2218	2051
8	eitanzaki	1538
9	NotKaden_	1283
10	nice_try_sir	1069
11	Zoeyfortnite	1014
12	Blu3beast	997
13	izzybearh	832
14	Pumpkin_P_Patch	826
15	Akoot_	798
16	Blackberry1310	720
17	annebolyn	677
18	Inbefour	599
19	CompAir	575
20	PhantomsGhost_	525
21	fluddd	514
22	BruhM0mnt	512
22	Aiko_Kawashima	512
24	Jackattack53	502
25	KarlKaek	465
26	noam464	462
27	DarlaMeow	456
28	Soplight	434
29	ImNotYuqii	410
30	Groovy_MoonBird	377
31	AssFullaCum	375
32	xzvu	368
33	_Virify_	366
34	pintsizedrogue	365
35	Hyp3rion_	360
36	Ryanix	346
37	wTXop	320
38	Tyrannosplart	318
39	Fullut	308
40	Uzbeki_John	301
41	jushykins	300
42	ConnorDanky_	295
43	Nicserso	283
44	seanitoo	273
45	thgrocks	270
46	LilyNova	268
47	ApophisNova	261
47	MyNamaSheff	261
49	__tomato	257
50	Frach23	256
50	rocklobster2012	256
52	EcksD	254
53	Incinere	237
54	Racengan	229
55	RobotMinion101	219
56	fkGrim	218
56	MakeHistory157	218
58	Mahoose	217
58	miramyu	217
60	Quaintster	207
61	NameGenerat0r	204
61	Dirt_Bread	204
63	set67	194
64	Rox_The_Box	192
65	teslawolf38	183
66	Ilinca_Io	173
67	Euclidoris	165
68	YungMaki	163
69	Ezekson	162
70	Meatlaugh	160
71	Lauratheking	155
71	caesarleon	155
73	hollowww	153
74	6king6colt6	152
74	gcaisawesome	152
76	ZaneABrain	149
77	ImpavidArcher	144
77	FishisTTV	144
79	Huwulling	142
80	F_Uhre	140
81	Kuragari_	135
81	rarrq	135
81	tobinwilliams	135
84	Wanjibon	134
85	jane_street	131
86	mwrty	130
87	richerbat	128
87	Shiirazu	128
87	audiocracked	128
90	561cool	126
91	Stynxy	124
91	mimbo1211	124
93	TachibanaAkira	122
94	vandmanden	121
95	Tjhodskins19	115
96	_TCARREIRA_	112
97	Aavermu	107
98	Mr_Byzantine	106
98	KingMatthew506	106
100	Ender_Souls	102
100	_KuruKuru	102
102	Gregward_Smith	99
103	ColeSnyder	96
103	redikul	96
103	bean__salad	96
103	FreakGenius	96
103	Gus2005	96
103	PortlyPete69	96
109	Deodorante	95
110	YungWali	93
111	Lez_	92
112	thescout7	90
112	Strangemonkey71	90
114	beeperbeeper5	88
115	True_Clipse	86
116	XxCookiequeenxX	83
117	H0UNDFRMH3LL	80
117	Seindi	80
117	Steelynan	80
120	fade_emerge78823	79
121	ProfessorBee	78
121	lordpipe	78
123	Eraxa	76
124	Drawgirl	74
125	imthatpikachu	72
126	BlankityMcBlank	70
127	abramgray	68
127	IAmTheWalrus910	68
129	cheerytomato	67
130	Tolhart	66
130	fr0stss	66
130	Arsinic7	66
130	Charmyboi	66
130	FlashMigma	66
135	Aatronix	65
135	Ecplosive	65
135	Parcc	65
135	TeenMomTom	65
135	HellsSponge	65
135	TiborSterle	65
135	deenobeeno	65
142	freeandrew	64
142	Mohawkfalco	64
142	cwin95	64
142	PrettyWings	64
142	surfinggiraffejp	64
142	cedric72	64
142	Fuhrer_Teemo	64
142	Travka100	64
142	560cool	64
142	meavemeave	64
142	YaThiccB01	64
142	babecake	64
142	Soul_Atreus	64
142	Mr_Teddiursa_K	64
142	heyburrito	64
142	camando92	64
158	Saucepeh	63
158	moist_jellyfish	63
158	Enderxz3	63
161	igrowupfast	62
162	bl1ss0	61
162	Snowflowe	61
164	Blaiku	60
165	ofekgo	59
166	o0z	57
166	Werbe	57
168	FirsTimeGamingTV	56
169	wernol	55
169	__Auspicious	55
171	CranialBlowout	54
171	Meepcraft	54
173	bigstankyy	53
173	Njensen7	53
175	Hiryu27	52
175	Karbl	52
177	SellyZ	51
178	goyz	48
178	diamondgolem35	48
178	Comma__	48
178	MrTentacles2169	48
182	geekbird	47
182	somegirl12_	47
182	JayToe	47
185	Chicken_D0g	46
186	yulgur1	45
187	luseis	44
188	i2f8x4h8ro	43
188	Benzito07	43
190	Cambo5000	42
190	Kowcio_	42
192	Jackywho	41
192	Dogbound	41
192	Commander_Ange	41
195	Skylord_Luke	40
196	potatocan	39
197	HazenBlazin	38
197	Jared6969	38
197	Di_infiri	38
200	ReSynced	36
200	h2p_emrld	36
202	Toiton	35
203	switchNat	34
204	Azmodan_246	33
204	Spenduh	33
204	skitzxo	33
207	ketaminmann	32
207	stuy9	32
207	AssassinAshton	32
207	CornOnTheCobalt	32
207	IronicUwU1	32
207	diggydog67	32
213	JollyDroopy52	31
213	starbits140	31
215	TheSecondLord	30
216	Nach0Bear	28
216	Stiar	28
216	stavgod	28
219	royal_2	27
219	ROY4LE	27
219	fallingemma	27
219	ChampBoii	27
219	elliebelle107	27
224	Zeradox	26
225	SaucyDark	25
225	willowcherrytree	25
227	ratglock	24
227	Proxy_Man	24
227	Ragnar2105	24
227	HELLO_I_AM_BEAR	24
227	Leithz6	24
227	ediballbearings	24
233	freya__b	23
234	bubbee29	22
235	The_Thund	21
235	Franco093	21
235	titanlax	21
235	Capss	21
239	jcool7	20
240	sp00ky_ghost977	19
241	Guillemet	18
241	theonlymagikarp	18
243	hakai_gr	17
243	heckface	17
243	yheece	17
243	SuperPooch06	17
243	Voxin2K	17
243	StarCookiees_	17
249	Mercadies	15
249	500am	15
249	IROMAKKEM	15
249	domagawha	15
249	MoogMush	15
254	MOSS000	14
254	Sleepy_Evelyn	14
254	Bumpy419	14
254	ILoveCarrot	14
254	Yamdalorian	14
259	K1la_	13
259	PlanetarSun	13
259	_witch_craft_	13
259	CrateOfBoxes	13
259	dragonstalker21	13
259	robonya_	13
259	Sral7	13
266	ProbablyNick	12
266	peach0s	12
266	PigDab	12
266	Blamphe	12
266	JaacobLG	12
266	pretty_pink_reno	12
272	XboxPanda	11
272	Windo_licker	11
272	_Duckery	11
272	handsome_strong	11
272	censorsheep	11
277	libbytingz	10
277	Scathra	10
277	SirPiccardo	10
277	oscminus	10
277	xDraggin	10
277	claivin	10
277	Skippeh	10
284	Tobinator_007	9
284	fr_ser	9
284	ScootOfBoot	9
284	Lord_Jord	9
284	zany0	9
284	Groundler	9
284	laron58	9
291	T045RTY	8
291	emrekn	8
291	Theo34	8
291	WyngGoy	8
295	Corbsman	7
295	Nicky19	7
295	Jiminbub	7
295	MovingFish7	7
295	Burge_r	7
300	SoosAmongus	6
