rank	username	minecraft:dropped/minecraft:cyan_dye
1	thewindmillman	462525
2	Hyp3rion_	1334
3	Blaiku	363
4	Syropatathe	276
5	Akoot_	231
6	kekhon	229
7	lordpipe	145
8	eitanzaki	131
9	Lez_	115
10	Wowful	110
11	r123moore	98
12	lillips	96
13	rarrq	78
13	Smoke____	78
15	HellsSponge	68
16	bladeefan2009	64
17	Blu3beast	62
18	ConnorDanky_	56
19	Pelku	55
20	RoofTyler	53
21	mwrty	40
22	Di_infiri	34
23	Awyrlas	32
23	EveryonesUncle	32
25	Blackberry1310	31
26	YungMaki	20
27	Yirtle	18
28	Kowcio_	14
29	Jackattack53	12
30	Merv__	10
31	luseis	9
31	Spacewardharpy7	9
33	Mr_Byzantine	8
34	ShedJr_	6
35	noam464	5
36	vandmanden	4
37	beeperbeeper5	3
37	heckface	3
37	Fullut	3
40	bra1nbrain	2
40	MattieHD	2
40	m9_meltdown_	2
43	Bandito_Roamer	1
43	AuroraValkyrie	1
43	Hpdinosaur	1
43	Huwulling	1
43	Prismyst	1
43	Euclidoris	1
43	jushykins	1
43	emrekn	1
43	Werbe	1
43	Mattesco	1
43	SvenskaAlvar	1
43	yulgur1	1
43	Inbefour	1
43	shrimp_flips	1
43	Razzgriz	1
43	Eraxa	1
43	__tomato	1
