rank	username	minecraft:dropped/minecraft:apple
1	thewindmillman	7792
2	Hyp3rion_	3639
3	Freak_Genius	2925
4	Spacewardharpy7	2849
5	eitanzaki	1635
6	noam464	1052
7	TechnoNinja64	825
8	Blackberry1310	685
9	Smoke____	668
10	Frozil20	659
11	Blaiku	517
12	thescout7	342
13	_Virify_	303
14	lillips	261
15	Skylord_Luke	256
16	lordpipe	218
17	PigDab	209
18	Jiminie	197
19	Di_infiri	188
20	Werbe	187
21	set67	177
22	LeeMcGee30	158
23	SullyhS	148
24	T045RTY	135
25	Sleepy_Time_	128
26	HellsSponge	125
27	beeperbeeper5	111
28	EcksD	109
29	kekhon	106
30	Dogcorn69420	104
31	Nicserso	99
32	ImpavidArcher	95
33	Ezekson	83
34	CoffeeNoir	82
35	XboxPanda	77
35	TheTrueClipse	77
37	Kakolbus	76
38	PazinGaming	74
39	Inchef	73
40	oxfordschool	72
41	pintsizedrogue	69
41	Eraxa	69
43	Euclidoris	68
43	gcaisawesome	68
43	HesDemonPants	68
46	Mahoose	66
47	m_be9	65
48	MSK__	64
48	WavyGravy_	64
50	EveryonesUncle	62
51	stahouo	54
52	jnp_gaming	53
53	I_Am_Mushkin	52
54	joethahobo	50
55	Akoot_	47
56	Wowful	45
57	burbankbuilder28	42
58	PortlyPete69	40
59	Bumpy419	38
60	Racengan	35
61	groofles	33
61	Cocoamallows	33
63	Hisiste	31
64	TheSecondLord	29
64	Inbefour	29
66	Comma__	28
67	Kowcio_	26
68	Fullut	25
69	_Boipl_	24
69	Skippeh	24
69	anbbang	24
69	2blox	24
73	RebelAndroid	23
73	xxPipperDipperxx	23
73	Xclax101	23
76	Lord_Jord	22
76	fkGrim	22
78	ShedJr_	21
79	Menthas	20
79	TastyPorkchop	20
79	microcrisp	20
82	Winklepicker279	19
83	Jimb0nat0r	18
84	Mr_Byzantine	17
84	Snowflowe	17
84	Onennon	17
84	NomadicRobin_	17
88	Jonafrog99	16
88	DScatgirls	16
90	EfficientC52	15
90	YungMaki	15
92	Bandito_Roamer	14
92	binman420	14
94	PhantomsGhost_	13
94	jewbacaman	13
94	Quaintster	13
97	Ecplosive	12
97	Shiirazuku	12
97	_Karmaa	12
97	Blu3beast	12
97	Segotep999	12
102	oreee	11
102	ratglock	11
102	Nycteus_	11
102	MightyWertu	11
106	Guillemet	10
106	MyNameIsDakar	10
106	Legendosh	10
106	EcksDofficial	10
110	Groovy_MoonBird	9
110	q_wq	9
110	rarrq	9
110	Ardennes	9
110	_Nuf	9
110	actour	9
110	gabriels543	9
110	SuperPooch06	9
110	Solar_Power	9
110	Kouridragon	9
110	_Bguette_	9
110	Steven1282598	9
110	SpacesickPrism	9
123	ProfessorBee	8
123	TheDankPlatypus	8
123	HAIRYCLOUD626	8
123	_naturell	8
123	PuFY	8
123	lcvezra	8
123	KingMatthew506	8
123	alderban107	8
123	calamariclam_I	8
132	_Huge_Male_	7
132	itburb	7
132	prizm_	7
132	seramalen	7
132	Truckoss	7
132	yulgur1	7
132	Soap_Bender	7
132	fluddd	7
132	stavgod	7
132	PabloGonza02	7
132	Kekoo	7
132	SammiWolfGirl	7
132	kinas45y5	7
145	EMC_	6
145	KarlKaek	6
145	diamondgolem35	6
145	freeandrew	6
145	Zlatovlas	6
145	Mewar	6
145	Rebytre	6
145	Sky_light_KING	6
145	BumbleBeever	6
145	sp00ky_ghost977	6
145	SexcMf	6
145	EtherealEspresso	6
145	jcool7	6
145	Dreamdbr14	6
145	Quotary	6
160	SyK7	5
160	SaucyDark	5
160	Da_Boss_Rani	5
160	NieToksikpl	5
160	beeleg	5
160	LeauVox4921	5
160	mariominejedi	5
160	DaviusMaximoose	5
160	_8man	5
160	Joestra	5
160	Fuad_R	5
160	MAns_44	5
160	GravitySaint	5
160	LazySupport00	5
160	MovingFish7	5
