rank	username	minecraft:dropped/minecraft:smooth_basalt
1	Hyp3rion_	9940
2	diamondgolem35	1045
3	k_ce	835
4	Nicserso	655
5	Segotep999	611
6	Mattesco	576
7	Samificator	386
8	thewindmillman	377
9	beeperbeeper5	353
10	crashomon	328
11	luseis	293
12	ECstardust	264
13	Kowcio_	262
14	skitzxo	247
15	Iamthejo	244
16	YungMaki	239
17	QuiCreans	237
18	Yahir091	216
19	pretty_pink_reno	207
20	MrKrabOnCoke	194
21	Smashic	192
22	rarrq	190
23	hanaryheatwave	181
24	noam464	156
25	Secret_Canary	149
26	fragrantmonke444	139
27	Lez_	108
28	pintsizedrogue	98
29	SvenskaHugo	90
30	bl1ss0	88
31	Manaateee	86
32	EveryonesUncle	77
33	shineh10	76
34	Hahaa_0	74
34	EdGalbraith	74
36	non089	73
37	AlexxO_o	72
38	PazinGaming	71
39	MilleGrug	70
40	EMC_	69
41	Skylord_Luke	68
42	Yamdalorian	65
43	hasnpetal	64
43	ThymeTraveler	64
43	ChronoSounds	64
46	SpacesickPrism	58
47	12Magner05	55
48	Fuad_R	46
49	philandr	45
50	Enderxz3	41
51	Dan_Scha	37
52	gcaisawesome	31
53	500am	29
53	Jackattack53	29
55	Sleepy_Evelyn	27
56	gabukun_	25
56	fade_emerge78823	25
58	myaccountwasgone	23
58	_witch_craft_	23
58	DairyNickel756	23
61	Blaiku	22
62	Da_Boss_Rani	21
62	_Nat666	21
64	DabKeepaBlicky	20
64	Blasterboy54	20
66	MSK__	19
67	TheSecondLord	18
67	MAns_44	18
69	ScootOfBoot	16
70	powercas_gamer	15
70	excelsionprime	15
70	Kakolbus	15
73	Alteriity	13
73	Jonafrog99	13
73	ItsDeltaMC	13
76	catandmoose	12
77	NieToksikpl	11
77	oscminus	11
77	robonya_	11
77	11Brewer	11
81	TerraVl	10
81	lpinfinity	10
81	shadowthemonkey	10
81	Racengan	10
81	PlasticOtari	10
86	Frigzy_	9
86	RebelAndroid	9
86	gamerlord1324	9
86	dartwaffle	9
86	_i_ERROR_i_	9
91	MuffinManzz	8
91	RatatJuice	8
91	masskedman	8
91	lordpipe	8
91	StarCookiees_	8
91	MrShojo	8
91	LeEricc	8
98	_Huge_Male_	7
98	Silvo614	7
98	Moofyman	7
98	fw3xy74	7
98	LazySupport00	7
98	NATE_the_HALO	7
104	Mahoose	6
104	Valoth	6
104	Kkanot	6
104	smarticuno	6
104	OreTheBear	6
104	chrisegv	6
104	Jonte0599	6
104	mihimihimihi	6
104	Spenduh	6
104	Skippeh	6
114	JitteryJared2	5
114	That_tech_head	5
114	PixelatedBoss	5
114	Toriankel	5
114	pixelviolin	5
119	Apollo_993	4
119	SteveCraftBlocks	4
119	theonlymagikarp	4
119	prizm_	4
119	Krowuss	4
119	emreknugrlu	4
119	tsitrawhy	4
119	Weepingbiel	4
119	WYFYoyo	4
128	SOA1RR	3
128	Archsam	3
128	royal_2	3
128	Chickenchaser2	3
128	Touched_Bread	3
128	TheDankPlatypus	3
128	Nadhorion	3
128	DarkS0L	3
128	fluddd	3
128	Legendosh	3
138	H0UNDFRMH3LL	2
138	SyntheticSurgeon	2
138	ZaneABrain	2
138	CaracolCxnt	2
138	MattieHD	2
138	Lo_zio_Diego	2
138	JETrotter	2
138	RebytreGT	2
138	Werbe	2
138	Mr_Froxy	2
138	HolyVenom	2
138	Wowful	2
138	yulgur1	2
138	NomadicRobin_	2
138	NameGenerat0r	2
138	wwwwinnebagoooo	2
138	Synthoum	2
138	Rexorout	2
138	coobert42	2
138	YuenKei	2
158	Groovy_MoonBird	1
158	CLG_Kata	1
158	TooPure2	1
158	gren_ben	1
158	Sleepy_Time_	1
158	Tersea_	1
158	Crowman1	1
158	cyrusisntgay	1
158	LeauVox4921	1
158	Snowflowe	1
158	guiltybastard	1
158	Jekyll	1
158	Ghemmah	1
158	PigDab	1
158	groofles	1
158	H_O_M_H	1
158	blackeemperor	1
158	Spacewardharpy7	1
158	Pumpkin_P_Patch	1
