rank	username	minecraft:dropped/minecraft:brown_terracotta
1	thewindmillman	91946
2	EcksD	1894
3	Snowflowe	902
4	FreakGenius	827
5	Blaiku	558
6	NomadicRobin_	448
7	Spacewardharpy7	388
8	xxPipperDipperxx	380
9	The11thDoctor	336
10	Hyp3rion_	281
11	KingMatthew506	274
12	Masssonnn	256
12	masskedman	256
14	TooManyDuck	193
15	SDMNAEK	192
16	ConnorDanky_	189
17	lordpipe	144
18	EMC_	138
19	AuroraValkyrie	123
20	beeperbeeper5	121
20	audiocracked	121
22	Sral7	112
23	Comma__	111
24	Parcc	108
25	TheSecondLord	92
26	mwrty	90
27	Kowcio_	86
28	Tyrannosplart	85
29	RatatJuice	84
30	Rumpletaezer	83
31	ProfessorBee	77
32	emreknugrlu	74
33	Kamflame	70
34	pintsizedrogue	67
35	Shogunite	64
36	noam464	61
36	Jackattack53	61
38	Zaridey	59
38	YungMaki	59
40	RebytreGT	55
41	ougstur	47
42	PazinGaming	46
43	MovingFish7	41
43	skitzxo	41
45	eitanzaki	37
45	Akoot_	37
47	CoffeeNoir	34
48	Mattesco	33
48	MilleGrug	33
50	yheece	32
51	Groovy_MoonBird	28
52	Hoid_the_Roamer	27
53	the_russell1611	26
53	__tomato	26
55	Frozil20	23
56	MightyWertu	22
57	kekhon	19
58	Swexti	18
58	fragrantmonke444	18
58	hermmm_	18
61	TechnoNinja64	17
62	Nyxiom_	16
63	Kakolbus	14
63	Segotep999	14
65	Lez_	12
65	XxCookiequeenxX	12
65	djancak	12
68	mariominejedi	11
68	Di_infiri	11
70	Huwulling	9
70	crashomon	9
70	Darkgon	9
70	Deerfoot	9
70	pretty_pink_reno	9
70	yatsuta	9
76	Jovaphobic	8
76	77Holly7	8
76	rarrq	8
76	the__Reaper4999	8
80	UncleDanDan	7
80	RefluxRatio	7
80	EveryonesUncle	7
83	_Virify_	6
83	QuiCreans	6
83	bmac2718	6
83	Eraza	6
83	ApophisNova	6
83	Skippeh	6
83	MyNamaSheff	6
90	AspenLightVT	5
90	Eraxa	5
90	PortlyPete69	5
90	vandmanden	5
94	PhantomsGhost_	4
94	ROY4LE	4
94	The_slideV3	4
97	ImpavidArcher	3
97	Vizzoid	3
97	Awyrlas	3
97	Dakar_	3
97	Avocadogerms	3
102	elicobnoah	2
102	_Huge_Male_	2
102	joethahobo	2
102	iHuBlack	2
102	PigDab	2
102	TheShyPig	2
102	Blamphe	2
102	DarlaMeow	2
102	_Karmaa	2
102	xzvu	2
102	jcool7	2
102	Legendosh	2
114	Blackberry1310	1
114	_Nuf	1
114	set67	1
114	fade_emerge78823	1
114	Chromary	1
114	Hiryu27	1
114	Skylord_Luke	1
114	Werbe	1
114	wfk7	1
114	Kim_Jong_eel	1
114	groofles	1
114	Inbefour	1
114	fkGrim	1
114	QueenShuvi	1
114	Blu3beast	1
114	_i_ERROR_i_	1
114	Nicserso	1
114	Weepingbiel	1
114	TheSandwhich_	1
114	WinterYoke	1
