rank	username	minecraft:dropped/minecraft:polished_blackstone
1	Hyp3rion_	56208
2	gcaisawesome	10399
3	Jackattack53	2186
4	thewindmillman	1356
5	lillips	624
6	eitanzaki	482
7	Lez_	357
8	AdmiralSmoke	309
9	KliBeast21	256
10	TheSecondLord	208
11	k_ce	183
12	Rebytre	179
13	Kowcio_	165
14	FreakGenius	154
15	UCP_TheKingK	149
16	Luminad3	137
17	Manaateee	130
18	beeperbeeper5	129
19	weabis	126
20	kekhon	114
20	noam464	114
22	set67	104
23	EveryonesUncle	96
24	Mattesco	84
25	ECstardust	71
26	teslawolf38	68
27	Werbe	66
27	Spenduh	66
29	_Dean_123	64
29	fffMike	64
31	Fuad_R	59
32	12Magner05	55
33	MadmanRaven	52
34	Racengan	48
35	SkateboardR6	47
36	lizardfightclub	45
37	_Huge_Male_	43
37	Trixididntdie	43
37	Jimb0nat0r	43
40	fw3xy74	40
41	MAns_44	35
42	diamondgolem35	32
42	Solar_Power	32
44	Blaiku	27
45	Jakobo1337	25
46	Steelynan	18
47	EcksD	16
48	500am	15
49	_i_ERROR_i_	12
50	Ze_BaronKrigler	8
50	djancak	8
52	oscminus	7
53	Awyrlas	5
54	RebelAndroid	4
54	Lord_Jord	4
54	Eraxa	4
54	AltnumberF4	4
54	00000000-0000-0000-0009-01ff0c3e5e4f	4
59	pintsizedrogue	3
59	NatalieTW	3
59	PazinGaming	3
59	benediktine1	3
59	Chromary	3
59	Zythose	3
59	TheWildMateo	3
59	Winston_Ingram	3
59	Njensen7	3
59	ConnorDanky_	3
69	hm947	2
69	r123moore	2
69	0nly_sn1per	2
69	NameGenerat0r	2
69	CalebDHawk	2
69	TinyTheMelon	2
75	joethahobo	1
75	drunkeeez	1
75	hanaryheatwave	1
75	FishyBoy3811	1
75	HolyVenom	1
75	CuzIm2Kev	1
75	StarCookiees_	1
75	_Mythic____	1
75	cellmilk	1
